draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated
26,0,savE® OM46,True,1.0778968335304377,0.950340752393465,0.2655011510759162,0.8525314455868434,-0.2386652620116153,0.7584310778730643,assam,0,savE® OM46,20.648431077873063,610.7019592115363,0.6725865875109314,,288.48511389343105,3.0961884624425647e-09,679.9602184943252,69.46648946007319,10.657650836362787,10.6652484692137,3.1362448527054626e-12,0.7547113574605886,65.68292407454797,65.20213861013558,2,0.0,115,8760
27,0,savE® OM46,True,1.0813244871154541,1.0664219301274163,0.2204533620640372,0.9248624957088776,0.021731722255848074,1.47423583165943,assam,0,savE® OM46,21.364235831659432,655.9244677336823,0.674894000475129,,301.6208701003948,3.0352284117658038e-09,740.3265362542198,84.51447486403114,15.238682717273699,15.245408840632505,7.407038719807446e-12,0.7547113574605886,76.1909661089659,76.15154609638152,7236,0.0,222,8760
28,0,savE® OM46,True,1.0905936380072592,1.0193520946791832,0.3069288046445835,0.8609245887644416,0.3666347569636733,-0.7926691801486121,assam,0,savE® OM46,19.09733081985139,648.7911604415825,0.6635071154309526,,318.4748220159452,3.0827302345640163e-09,725.0094955086166,76.4119744916944,13.997493101436838,14.004958120160524,3.5259910426966784e-12,0.7547113574605886,73.90857297392924,73.87886644143141,4643,0.0,194,8760
29,0,savE® OM46,True,0.9281328525814514,1.053078624874689,1.0609524634643437,0.9274134732366437,0.28193804632558006,-0.9502899650887966,assam,0,savE® OM46,18.939710034911204,700.5739304569606,0.659853836266699,,348.90549516202077,3.136724843824217e-09,773.2645824426472,72.899223628837,13.641847350847398,13.64944853800263,4.590650876672238e-12,0.7547113574605886,74.54375674826511,74.52671343827471,5346,0.0,207,8760
30,0,savE® OM46,True,0.9577655982650201,1.0569663725319605,-0.3925206471928986,1.0818424419782924,0.08705105129731794,1.1389015357556476,assam,0,savE® OM46,21.028901535755647,683.2021664937926,0.6015263608496131,,438.5722359584781,3.1122089776988017e-09,759.7975362008206,76.79978375754364,13.158756058790159,13.1663183201606,5.3693340707040626e-12,0.7547113574605886,73.15100136601134,73.11567964556653,4386,0.0,192,8760
31,0,savE® OM46,True,1.0193185165799503,1.0281360987461183,-0.14143968609128765,1.12635971992226,-0.014473377892675665,-1.7721520750430417,assam,0,savE® OM46,18.11784792495696,758.8688294613403,0.5809656555504217,,538.4933594368832,3.2892804491183927e-09,814.2068330344524,55.76599711564441,10.589418105550505,10.599013052660224,5.693782743859078e-13,0.7547113574605886,66.42042666803046,66.07727993432385,9,0.0,91,8760
32,0,savE® OM46,True,0.9980779654733112,0.9440019812997992,0.4722209157463888,0.8226362411941159,0.43891884867801445,-0.605417451169771,assam,0,savE® OM46,19.28458254883023,598.8875258253416,0.6495357374973443,,314.6550771015169,3.0645827720187015e-09,670.5360685055798,71.8434179522906,11.81125845094476,11.818734561232285,4.266769654308227e-12,0.7547113574605886,71.34027756046177,71.31007499442094,2824,0.0,164,8760
33,0,savE® OM46,True,1.0249905660966931,0.9663454639035068,0.460537890020432,0.8578192658803965,-0.24531811098800826,0.687962040944365,assam,0,savE® OM46,20.577962040944364,624.9923197900405,0.6803916111301325,,284.17472957020084,3.1002184678329252e-09,694.5933661122407,69.81276684195963,10.806686544661934,10.814315812420771,4.385961298341878e-12,0.7547113574605886,66.62774401545396,66.1171102071451,28,0.0,125,8760
34,0,savE® OM46,True,0.9954913248034812,1.0616952108162114,0.9759585290403407,1.185460764668465,0.058412867715908035,1.6172161029977654,assam,0,savE® OM46,21.507216102997766,721.9814788813246,0.5911606717846085,,483.2411644002671,3.1819628981620317e-09,791.9321919409613,70.15982020619096,14.154620713265496,14.162226658372692,4.599517618648283e-12,0.7547113574605886,73.15720285698049,73.10157060606345,4843,0.0,200,8760
35,0,savE® OM46,True,1.0357296783260035,0.9726854283547093,-0.9909858442472621,1.1181577609684115,0.26313712781265497,1.7972624618750515,assam,0,savE® OM46,21.68726246187505,623.352410246046,0.5512962600199729,,496.4158435306468,3.086897061125987e-09,695.8583964095947,72.7276196018388,11.537434877872762,11.545153479317369,3.787911247940785e-12,0.7547113574605886,70.28756024888575,70.2516760204334,1393,0.0,145,8760
36,0,savE® OM46,True,1.007921847551052,1.0612891190779385,0.4086974876306715,0.9697335917979066,-0.334575744986943,1.5909509909880692,assam,0,savE® OM46,21.48095099098807,691.9753924250355,0.6845322151760725,,305.3632723346197,3.1115870632859305e-09,766.3611329866621,74.56848583571684,12.376401266821683,12.383766914245859,5.8072884331760906e-12,0.7547113574605886,69.45844812842822,69.14078817775592,850,0.0,147,8760
37,0,savE® OM46,True,0.9240116860129455,0.9665333112732108,1.059013434478583,0.963350733011624,-0.048247172294880625,0.47464135462946766,assam,0,savE® OM46,20.36464135462947,665.9542376009177,0.6441015981131701,,358.4750606645774,3.1949609093756958e-09,727.2888722215082,61.595098728112404,10.333650949686112,10.341723714679604,2.7500310337769335e-12,0.7547113574605886,67.78424886480721,67.47711799040245,21,0.0,120,8760
38,0,savE® OM46,True,0.9643698640828239,1.0362129015739734,0.7745809942618824,0.8110262718228078,0.3031953657809976,0.8944381117488804,assam,0,savE® OM46,20.78443811174888,624.2946351842004,0.7123525800600378,,239.76155357245935,3.014543538418461e-09,709.1342632882361,84.92240449635904,14.105585428627322,14.112042949841548,6.500074952317813e-12,0.7547113574605886,76.20121508162283,76.19418785849437,7414,0.0,229,8760
39,0,savE® OM46,True,0.9795967987025119,1.0565982811187942,1.0193113663508084,1.1788095342446978,0.4883916707396587,-1.1354047546919595,assam,0,savE® OM46,18.754595245308042,766.9181739834494,0.571025031680612,,563.2723760390479,3.2592419830125762e-09,827.4085179981402,60.82432052435328,13.299221589402341,13.307962495652214,1.5848304151269823e-12,0.7547113574605886,73.39139599261779,73.35418112375109,3302,0.0,176,8760
40,0,savE® OM46,True,1.0778382112018394,0.9987328091111494,0.8609414596473157,1.1014001417084913,0.31013281355017097,-0.7718197071570474,assam,0,savE® OM46,19.118180292842954,709.1137975626108,0.574250906895749,,515.0901616594813,3.2339300664393737e-09,769.917529365477,61.116942051194656,12.805535573119023,12.814087518908813,4.335347592582744e-12,0.7547113574605886,71.26508595969138,71.21659456553964,2412,0.0,154,8760
41,0,savE® OM46,True,1.0246959705808554,0.9366097918047692,0.11652258039627572,0.9131785078241896,-0.31393545570554826,-1.6592475832425122,assam,0,savE® OM46,18.23075241675749,656.1420614139594,0.6219957291150289,,392.1734063698489,3.2193523926195682e-09,713.997466882042,58.20719344022736,9.564574565679054,9.573477350948576,2.3559964962811273e-12,0.7547113574605886,64.29950598494622,64.04227460567849,0,0.0,94,8760
