cluster_id,Tm_target_C,L_required_kJ_per_kg,name,manufacturer,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,cluster_hsi,hsi_p75_across_clusters,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,consensus_rank,kendall_w,weight_f_Tm,weight_latent_heat_kJ_kg,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence
0,57.0,122.93818683243596,Paraffin/Expanded graphite (92% paraffin),Literature,Composite,Organic/composite blend,52.2,49.2,170.0,791.0,871.0,2.77,3.2,0.157,2000.0,Estimated via MICE-RF-PMM,Yes,3.0,10,True,literature_MICE_RF_PMM_completed,148.07,2.9850000000000003,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.48675225595997207,False,0.5078028234974545,0.5620480067984595,-0.23942855609458888,0.5071061030045612,0.5270109127872792,0.15949106279647954,19,21,26,14,single VIKOR winner acceptable,40.0,21,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PlusICE A62,PCM Products Ltd.,PCM Products,Organic PCM,62.0,62.0,205.0,910.0,910.0,2.2,2.2,0.22,1581.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,186.55,2.2,0.969090284145708,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.45783336177161427,False,0.45775895521964316,0.4979087050564269,-0.06772125399988457,0.5336373693854359,0.5214341068719736,0.16861592592865196,22,25,18,16,single VIKOR winner acceptable,39.0,22,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT65,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),61.5,61.5,150.0,780.0,880.0,2.0,2.0,0.1649999999999999,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,132.0,2.0,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.5310959910353452,False,0.4943712924964621,0.5540862773275336,-0.26071582933928245,0.5724529272153582,0.5544779563400214,0.164101368308257,20,22,28,19,single VIKOR winner acceptable,31.0,23,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Nonacosane (C29),Literature,n-Alkane,Organic n-alkane,64.0,62.3,240.0,790.0,790.0,2.13,1.99,0.28,1404.0,Estimated via MICE-RF-PMM,Yes,1.7000000000000028,7,True,literature_MICE_RF_PMM_completed,189.6,2.06,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.2162651668298873,False,0.42909364104697145,0.5716531924408808,-0.10146112518635116,0.8883104749661994,0.5524236855244047,0.24483864390576615,26,17,20,29,single VIKOR winner acceptable,28.0,24,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Palmitic acid (C16),Literature,Fatty acid,Organic fatty acid,62.6,62.1,198.0,860.0,989.0,2.15,2.0,0.188,1695.0,Estimated via MICE-RF-PMM,Yes,0.5,8,True,literature_MICE_RF_PMM_completed,195.822,2.075,0.9782442092981332,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.37531109885139935,False,0.4538122054265054,0.49602996207261296,-0.16470843693930318,0.662349037264257,0.5364234057282324,0.1946544165292799,24,26,22,21,single VIKOR winner acceptable,27.0,25,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT62HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),62.5,62.0,230.0,840.0,850.0,2.0,2.0,0.2385,1404.0,Estimated via MICE-RF-PMM,Yes,0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,195.5,2.0,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.3885581275123641,False,0.42560042831553385,0.5188618983874268,-0.12581089967773557,0.8323888642349657,0.5514421128573133,0.23112762924978153,27,24,21,26,single VIKOR winner acceptable,22.0,26,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT54HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),53.5,53.5,200.0,800.0,850.0,2.0,2.0,0.1855,1474.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,170.0,2.0,0.9598772631173303,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.6819407511903481,False,0.4398671521132415,0.481254622304331,-0.21640191666989997,0.7236212553655559,0.5613226637674901,0.19934800770167224,25,27,25,23,single VIKOR winner acceptable,20.0,27,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PureTemp 63,PureTemp,PureTemp,Organic bio-based PCM,63.0,62.0,206.0,840.0,920.0,2.16,1.99,0.2,1510.0,Estimated via MICE-RF-PMM,Yes,1.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,189.52,2.075,0.963049532185251,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.32465246735834974,False,0.37707764697138246,0.46611922586834487,-0.2547620120686962,0.8518365635321661,0.6100368476992453,0.21063888245755633,29,29,27,27,single VIKOR winner acceptable,8.0,28,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,PlusICE A52,PCM Products Ltd.,PCM Products,Organic PCM,52.0,49.2,220.0,810.0,810.0,2.15,2.15,0.18,1447.0,Estimated via MICE-RF-PMM,Yes,2.799999999999997,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.2,2.15,0.957446830545145,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.45783336177161427,False,0.38728945199572584,0.46891231220661034,-0.28696446940391435,0.853724832937214,0.6093281328392806,0.2114235022656453,28,28,29,28,single VIKOR winner acceptable,7.0,29,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
1,55.16109721700209,178.12834156015117,PureTemp 53,PureTemp,PureTemp,Organic bio-based PCM,53.0,51.1,225.0,840.0,920.0,2.6,2.36,0.2,1686.0,Estimated via MICE-RF-PMM,Yes,1.8999999999999984,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,207.0,2.48,0.977544241901108,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.8642025006247478,False,0.6919111527456415,0.6423008422814331,0.26402118984033524,0.0047290361223174225,0.3002652958735583,0.09907529519514091,1,11,3,1,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",108.0,1,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
1,55.16109721700209,178.12834156015117,n-Hexacosane (C26),Literature,n-Alkane,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Estimated via MICE-RF-PMM,Yes,0.2999999999999971,7,True,literature_MICE_RF_PMM_completed,197.12,2.29,0.9534809845274094,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.9455196147769496,False,0.6299831103888842,0.7258418099520639,0.30761697824252,0.3227193702470759,0.29704994892769987,0.20524291230059402,6,1,2,8,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",107.0,2,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
1,55.16109721700209,178.12834156015117,Myristic acid (C14),Literature,Fatty acid,Organic fatty acid,53.0,51.2,199.0,861.0,990.0,2.04,1.7,0.2329999999999999,1686.0,Estimated via MICE-RF-PMM,Yes,1.7999999999999972,5,True,literature_MICE_RF_PMM_completed,197.01,1.87,0.977544241901108,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.8642025006247478,False,0.6794589707900872,0.6294530900380313,0.24408643424612872,0.02309902504242377,0.31275534379071673,0.09907529519514091,2,12,5,2,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",103.0,3,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
1,55.16109721700209,178.12834156015117,RT57HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),56.5,56.5,240.0,800.0,900.0,2.0,2.0,0.239,1404.0,Estimated via MICE-RF-PMM,Yes,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,216.0,2.0,0.9534809845274094,True,low_organic,True,True,True,124.6898390921058,True,True,,True,True,True,15.017483175600246,20.215460619932777,True,50.16109721700209,63.16109721700209,0.0,0.9455196147769496,False,0.6281983945683323,0.7101102708291247,0.3164784140974427,0.32487835578427365,0.2985178775655085,0.20524291230059402,8,3,1,9,"VIKOR acceptable-advantage (C1) FAILS (Q gap 0.0184 < 0.0345) — report a compromise set PureTemp 53/Myristic acid (C14), not a single VIKOR winner",103.0,3,0.8418798665183538,0.2635643635512255,0.20311338062464213,0.1443693634656886,0.16864410517378592,0.2203087871846579
