cluster_id,year,ghi_daily_kWh_mean,ta_mean_true_mean,n_days,ghi_10yr_mean,ta_10yr_mean,ghi_scale,tamb_offset_C
2,2021,4.623788849315068,9.250041918347069,365,4.573236354120818,9.446569051164133,1.011053986997348,-0.1965271328170637
2,2022,4.607819726027397,9.504202998879478,365,4.573236354120818,9.446569051164133,1.0075621221447297,0.05763394771534536
2,2023,4.335264082191781,9.489724025096963,365,4.573236354120818,9.446569051164133,0.9479641432232983,0.04315497393283074
2,2024,4.526589234972677,9.936335804100695,366,4.573236354120818,9.446569051164133,0.9897999763108443,0.48976675293656236
2,2025,4.404641205479452,9.878584223511146,365,4.573236354120818,9.446569051164133,0.9631343898310768,0.4320151723470129
3,2016,4.850777991038634,24.813868463778977,366,4.748534679086157,23.820410307274173,1.0215315500174789,0.9934581565048042
3,2017,4.841172732638895,24.447214710960186,365,4.748534679086157,23.820410307274173,1.0195087663486466,0.6268044036860125
3,2018,4.7334343350515775,23.837614473092312,365,4.748534679086157,23.820410307274173,0.9968199992092117,0.017204165818139217
3,2019,4.723333669213309,23.766838870432828,365,4.748534679086157,23.820410307274173,0.9946928870533808,-0.05357143684134513
3,2020,4.811424791488289,23.052123419148103,366,4.748534679086157,23.820410307274173,1.013244109320527,-0.7682868881260703
3,2021,4.760716860210626,23.518719143058046,365,4.748534679086157,23.820410307274173,1.00256546112596,-0.30169116421612685
3,2022,4.788539933957174,23.785730524038385,365,4.748534679086157,23.820410307274173,1.0084247578620855,-0.03467978323578791
3,2023,4.689674700904657,23.33859948707842,365,4.748534679086157,23.820410307274173,0.9876046018067983,-0.4818108201957543
3,2024,4.670809910812111,24.159280395383828,366,4.748534679086157,23.820410307274173,0.9836318414991541,0.3388700881096547
3,2025,4.615461865546307,23.484113585770654,365,4.748534679086157,23.820410307274173,0.9719760257567583,-0.3362967215035191
4,2016,5.055229260558609,19.69015027935326,366,4.934846826962973,18.8472691448749,1.0243943607201527,0.8428811344783611
4,2017,4.983861959151981,19.25285099062718,365,4.934846826962973,18.8472691448749,1.0099324525983664,0.4055818457522804
4,2018,4.971871211559322,18.85428643645486,365,4.934846826962973,18.8472691448749,1.0075026410939556,0.007017291579959561
4,2019,4.860726941923722,18.422479780718188,365,4.934846826962973,18.8472691448749,0.9849803068589129,-0.4247893641567124
4,2020,4.99331765918141,17.869749939093712,366,4.934846826962973,18.8472691448749,1.011848560708909,-0.9775192057811886
4,2021,4.947461852322511,18.69812116513329,365,4.934846826962973,18.8472691448749,1.002556315484933,-0.14914797974160976
4,2022,4.971153725200537,18.940152764177252,365,4.934846826962973,18.8472691448749,1.0073572492745246,0.09288361930235212
4,2023,4.864871072723044,18.557308509816902,365,4.934846826962973,18.8472691448749,0.9858200757402245,-0.28996063505799796
4,2024,4.9349532677189085,19.271119153438143,366,4.934846826962973,18.8472691448749,1.0000215692117036,0.4238500085632424
4,2025,4.765021319289679,18.916472429936203,365,4.934846826962973,18.8472691448749,0.9655864683083165,0.06920328506130247
