point_id,cluster,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2
ASP_0046,1,0.9300499744607618,1.0139755709392725e-05,0.9300499744607618,0.06993988578352885
ASP_0047,2,0.9831273870698968,0.016865078470790378,7.534459312771608e-06,0.9831273870698968
ASP_0048,1,0.9997745883739927,0.0001154721589729872,0.9997745883739927,0.00010993946703436696
ASP_0049,0,0.999999999999984,0.999999999999984,1.9330222804088078e-16,1.5835577382945616e-14
ASP_0050,1,0.9999403662428665,4.7485887764990524e-11,0.9999403662428665,5.963370964767278e-05
ASP_0051,1,1.0,8.779772816071292e-50,1.0,7.746674967500915e-20
ASP_0052,0,0.9999999999997398,0.9999999999997398,2.601477518707968e-13,1.0067205110128898e-59
ASP_0053,2,0.8630191531193905,0.005098074654819452,0.1318827722257899,0.8630191531193905
ASP_0054,0,0.9999999999991407,0.9999999999991407,8.593446095099059e-13,2.3939630717024066e-18
ASP_0055,0,0.9999999473985133,0.9999999473985133,5.2601486758966043e-08,2.341823142794342e-23
ASP_0056,0,0.9999993973683163,0.9999993973683163,6.026316837083336e-07,4.676014739769254e-50
ASP_0057,1,0.9990766024849413,4.356233220354707e-26,0.9990766024849413,0.0009233975150586308
ASP_0058,0,0.9999999996722484,0.9999999996722484,3.277517033456927e-10,2.9608485435750797e-50
ASP_0059,2,0.9903908603792668,0.0013048523902108732,0.008304287230521882,0.9903908603792668
ASP_0060,2,0.9999999999097158,9.028423553643565e-11,8.383780951510914e-22,0.9999999999097158
ASP_0061,1,0.9932741571796104,1.6175219314061345e-06,0.9932741571796104,0.006724225298457986
ASP_0062,0,0.9999997434221886,0.9999997434221886,2.565778114832732e-07,6.364663923452583e-50
ASP_0063,2,0.9999999999978368,6.167505909168437e-26,2.1629783683018242e-12,0.9999999999978368
ASP_0064,2,1.0,1.758186928716408e-89,1.4236819287903656e-16,1.0
ASP_0065,1,0.9981758447406054,4.990451360340794e-07,0.9981758447406054,0.0018236562142586361
ASP_0066,0,0.9999999999980522,0.9999999999980522,1.9476691877887513e-12,1.109416089344075e-70
