name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_status,flammability,supercooling_K,n_properties_imputed,any_property_imputed,rho_H_MJ_m3,Cp_avg_kJ_kgK,pcm_id,manufacturer,source_type,Tm_C_status,Tm_freezing_C_status,latent_heat_status,density_liquid_status,density_solid_status,Cp_liquid_status,Cp_solid_status,TC_liquid_W_mK,TC_solid_W_mK,TC_status,supercooling_status,supercooling_is_derived,flammability_status,is_inorganic,data_source_detail,rho_H_status,rho_H_is_derived,Cp_avg_status,Cp_avg_is_derived
RT60,Organic (RT-line),Organic (RT-line),58.0,58.0,160.0,770.0,880.0,2.0,2.0,0.1694999999999999,2000.0,Imputed,Yes,0.0,4,True,140.8,2.0,37,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.147,0.192,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Heptacosane (C27),Organic n-alkane,Organic n-alkane,59.0,59.7,236.0,773.0,773.0,2.38,2.2,0.2415,1404.0,Imputed,Yes,0.0,7,True,182.428,2.29,38,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.18,0.303,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
CrodaTherm 60,Organic PCM,Organic PCM,59.8,61.5,217.0,824.0,922.0,2.3,1.4,0.2299999999999999,1533.0,Imputed,Yes,0.0,4,True,200.074,1.85,39,CrodaTherm,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.17,0.29,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Palmitic acid/Expanded graphite (80/20),Organic/composite blend,Organic/composite blend,60.9,60.8,148.0,778.0,860.0,2.78,2.94,0.1645,2000.0,Imputed,Yes,0.1,8,True,127.28,2.86,40,Literature,Literature,Reported,Reported,Reported,Imputed,Imputed,Imputed,Imputed,0.138,0.191,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
PureTemp 60,Organic bio-based PCM,Organic bio-based PCM,61.0,61.5,220.0,870.0,960.0,2.38,2.04,0.2,1695.0,Imputed,Yes,0.0,4,True,211.2,2.21,41,PureTemp,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.15,0.25,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT65,Organic (RT-line),Organic (RT-line),61.5,61.5,150.0,780.0,880.0,2.0,2.0,0.1649999999999999,2000.0,Imputed,Yes,0.0,4,True,132.0,2.0,42,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.147,0.183,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Octacosane (C28),Organic n-alkane,Organic n-alkane,61.6,62.3,253.0,910.0,910.0,2.38,2.05,0.2665,1581.0,Imputed,No,0.0,8,True,230.23,2.215,43,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.226,0.307,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
PlusICE A62,Organic PCM,Organic PCM,62.0,62.0,205.0,910.0,910.0,2.2,2.2,0.22,1581.0,Imputed,Yes,0.0,4,True,186.55,2.2,44,PCM Products Ltd.,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.22,0.22,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT62HC,Organic (RT-line),Organic (RT-line),62.5,62.0,230.0,840.0,850.0,2.0,2.0,0.2385,1404.0,Imputed,Yes,0.5,4,True,195.5,2.0,45,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.173,0.304,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Palmitic acid (C16),Organic fatty acid,Organic fatty acid,62.6,62.1,198.0,860.0,989.0,2.15,2.0,0.188,1695.0,Imputed,Yes,0.5,8,True,195.822,2.075,46,Literature,Literature,Reported,Imputed,Reported,Imputed,Reported,Imputed,Imputed,0.162,0.214,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
PureTemp 63,Organic bio-based PCM,Organic bio-based PCM,63.0,62.0,206.0,840.0,920.0,2.16,1.99,0.2,1510.0,Imputed,Yes,1.0,4,True,189.52,2.075,47,PureTemp,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.15,0.25,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT64HC,Organic (RT-line),Organic (RT-line),64.0,62.5,250.0,780.0,880.0,2.0,2.0,0.283,1404.0,Imputed,Yes,1.5,4,True,220.0,2.0,48,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.263,0.303,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Paraffin wax (generic),Paraffin,Organic paraffin,64.0,,173.6,790.0,916.0,,,,,Missing,Unknown,,0,False,159.01760000000002,,49,Singh2025_Table2,Literature,Reported,Missing,Reported,Reported,Reported,Missing,Missing,,,Missing,Missing,False,Missing,False,Singh2025_Table2_Literature,Reported,True,Missing,False
n-Nonacosane (C29),Organic n-alkane,Organic n-alkane,64.0,62.3,240.0,790.0,790.0,2.13,1.99,0.28,1404.0,Imputed,Yes,1.7,7,True,189.6,2.06,50,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.257,0.303,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
n-Triacontane (C30),Organic n-alkane,Organic n-alkane,65.4,63.1,251.0,940.0,910.0,2.38,2.08,0.269,1581.0,Imputed,No,2.3,9,True,228.41,2.23,51,Literature,Literature,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.23,0.308,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
savE® OM65,Pluss savE,Organic,67.0,66.0,188.0,847.0,924.0,3.32,3.48,0.16,2000.0,Reported,Yes,1.0,1,True,173.712,3.4,52,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.13,0.19,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Stearic acid (C18),Organic fatty acid,Organic fatty acid,67.9,68.2,259.0,941.0,965.0,2.35,2.0,0.211,1695.0,Imputed,Yes,0.0,6,True,249.935,2.175,53,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Reported,Imputed,0.172,0.25,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
PureTemp 68,Organic commercial PCM,Organic commercial PCM,68.0,67.3,213.0,797.0,811.0,2.39,2.07,0.2754999999999999,1404.0,Imputed,No,0.7,10,True,172.743,2.23,54,PureTemp,Manufacturer,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.251,0.3,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
n-Hentriacontane (C31),Organic n-alkane,Organic n-alkane,68.0,68.2,242.0,930.0,930.0,2.32,2.0,0.2135,1695.0,Imputed,Yes,0.0,8,True,225.06,2.16,55,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.177,0.25,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
RT69HC,Organic (RT-line),Organic (RT-line),69.0,68.0,230.0,840.0,940.0,2.0,2.0,0.2815,1551.0,Imputed,Yes,1.0,4,True,216.2,2.0,56,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.259,0.304,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Dotriacontane (C32),Organic n-alkane,Organic n-alkane,69.5,67.9,170.0,777.0,848.0,2.81,3.23,0.165,2000.0,Imputed,Yes,1.6,10,True,144.16,3.02,57,Literature,Literature,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.139,0.191,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
RT70HC,Organic (RT-line),Organic (RT-line),70.0,70.0,260.0,770.0,880.0,2.0,2.0,0.24,1404.0,Imputed,Yes,0.0,4,True,228.8,2.0,58,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.177,0.303,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
