point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
RJP_0082,27.125,74.625,246473.3383339048,1,1.0,3,0.8076827077818228,50,7.794961878308396e-50,1.0,3.3155557818873994e-17
RJP_0083,26.625,75.875,245699.89906430244,2,0.9999999999999467,3,0.8076827077818228,50,5.1692789365301443e-14,5.036175720392609e-28,0.9999999999999467
RJP_0084,27.125,74.875,245114.9789153337,1,1.0,3,0.8076827077818228,50,7.417085894773322e-51,1.0,1.9393609601164557e-18
RJP_0085,27.375,74.875,241122.78571403027,1,1.0,3,0.8076827077818228,50,2.693816292977339e-50,1.0,2.1862323987462954e-16
RJP_0086,26.625,77.625,238182.0851955116,2,1.0,3,0.8076827077818228,50,8.11616920971112e-17,1.316684284546326e-36,1.0
RJP_0087,26.875,75.375,237684.6666400433,2,0.9999999999999858,3,0.8076827077818228,50,1.29393407438229e-14,1.0608570071915405e-24,0.9999999999999858
RJP_0088,27.375,76.125,235059.48790171745,2,1.0,3,0.8076827077818228,50,3.678667984690375e-33,5.914606680598494e-37,1.0
RJP_0089,24.875,74.125,232701.203148067,0,1.0,3,0.8076827077818228,50,1.0,8.503150475387534e-64,3.5241545974695073e-25
RJP_0090,24.375,76.625,232049.1296108961,0,1.0,3,0.8076827077818228,50,1.0,2.757362056563448e-97,6.163392191045168e-55
RJP_0091,26.625,74.625,228218.0480888486,2,0.9999999806878039,3,0.8076827077818228,50,1.1789839269215697e-18,1.9312194801860876e-08,0.9999999806878039
RJP_0092,25.875,74.625,227816.6046186089,0,0.9998529612055232,3,0.8076827077818228,50,0.9998529612055232,3.565396909028271e-27,0.00014703879447605187
RJP_0093,24.125,73.875,226396.3227298856,0,1.0,3,0.8076827077818228,50,1.0,8.151780293801761e-63,2.6416655715659616e-30
RJP_0094,24.125,74.125,223620.37957692143,0,1.0,3,0.8076827077818228,50,1.0,7.608238480868266e-67,1.057979114555042e-30
RJP_0095,27.375,75.375,223427.61685168743,2,1.0,3,0.8076827077818228,50,7.955711263805987e-26,1.5153575290690617e-22,1.0
RJP_0096,28.125,74.875,222331.13432770967,1,1.0,3,0.8076827077818228,50,2.820891695588233e-75,1.0,8.393910152139222e-31
RJP_0097,23.625,74.625,221087.84905278683,0,1.0,3,0.8076827077818228,50,1.0,1.3372497642550332e-121,1.374812189600147e-82
RJP_0098,24.625,74.625,220036.03256851435,0,1.0,3,0.8076827077818228,50,1.0,2.9130461826882068e-64,1.1074862915469057e-25
RJP_0099,27.625,74.375,219504.5435451269,1,1.0,3,0.8076827077818228,50,5.200600317723074e-66,1.0,1.6950010726301218e-29
RJP_0100,27.875,76.125,215635.17670226097,2,1.0,3,0.8076827077818228,50,6.637723476112775e-41,3.4760507538526805e-33,1.0
RJP_0101,27.375,74.625,215306.43787515163,1,1.0,3,0.8076827077818228,50,6.963587483508831e-53,1.0,9.4623994484425e-19
RJP_0102,24.875,73.125,211904.16696301103,0,1.0,3,0.8076827077818228,50,1.0,1.123760970387015e-53,3.3170741903306667e-19
RJP_0103,25.125,76.375,211428.65474897623,0,1.0,3,0.8076827077818228,50,1.0,3.534522321421582e-52,6.936955538037917e-24
RJP_0104,25.875,73.375,210554.3588542044,2,0.999849410072835,3,0.8076827077818228,50,2.9917950381916092e-09,0.000150586935369674,0.999849410072835
RJP_0105,26.375,76.375,210334.8066553473,2,0.9999999999999751,3,0.8076827077818228,50,2.6533667888483436e-14,4.6416823983717534e-33,0.9999999999999751
RJP_0106,26.375,75.875,209796.76630586383,2,0.9999999999995488,3,0.8076827077818228,50,4.525973674643754e-13,6.89268154714999e-27,0.9999999999995488
RJP_0107,25.875,72.125,209182.70184344053,1,1.0,3,0.8076827077818228,50,3.757774749469536e-84,1.0,1.8882596444010712e-54
RJP_0108,24.625,74.125,206863.26502126447,0,1.0,3,0.8076827077818228,50,1.0,2.4412059851322734e-65,9.806507519906976e-27
RJP_0109,26.875,77.625,206813.25684535503,2,1.0,3,0.8076827077818228,50,6.688561675312516e-21,7.501678637220967e-38,1.0
RJP_0110,26.875,75.125,206802.49238288403,2,0.9999999999999183,3,0.8076827077818228,50,8.039763540729139e-14,6.278760792801452e-17,0.9999999999999183
RJP_0111,24.875,71.875,206562.5920379758,1,1.0,3,0.8076827077818228,50,9.413362099875266e-31,1.0,1.5329870889462233e-23
RJP_0112,27.375,75.125,205180.6319134236,2,1.0,3,0.8076827077818228,50,2.9999790149070934e-25,1.3432748798744663e-15,1.0
RJP_0113,26.875,78.125,203674.11956173184,2,1.0,3,0.8076827077818228,50,1.0454922355009086e-31,7.10638529099718e-48,1.0
RJP_0114,23.125,74.375,202617.4611782432,0,1.0,3,0.8076827077818228,50,1.0,3.135979973529519e-127,6.675101659570479e-81
RJP_0115,25.125,76.125,199409.46216326952,0,1.0,3,0.8076827077818228,50,1.0,5.2761698611575283e-51,4.8578397787312434e-24
RJP_0116,27.875,75.625,199173.86278420687,2,1.0,3,0.8076827077818228,50,1.561641327839035e-32,1.6732331392518784e-19,1.0
RJP_0117,25.125,76.625,197976.9415908456,0,1.0,3,0.8076827077818228,50,1.0,2.2356463394733813e-54,9.684566386447693e-22
RJP_0118,24.375,73.875,197109.5594609976,0,1.0,3,0.8076827077818228,50,1.0,8.173979831293801e-66,4.658140050296723e-28
RJP_0119,23.875,73.875,196152.9215787649,0,1.0,3,0.8076827077818228,50,1.0,3.142364672753719e-75,2.158667380151587e-44
RJP_0120,25.125,74.125,195385.73548704383,0,0.9999999998474536,3,0.8076827077818228,50,0.9999999998474536,3.0952498714603013e-41,1.525468686678457e-10
RJP_0121,26.625,76.625,191316.62574929,2,0.9999999999999822,3,0.8076827077818228,50,1.631782973483746e-14,6.876990889516804e-36,0.9999999999999822
RJP_0122,25.875,76.375,191300.5448462963,0,0.9999999999999645,3,0.8076827077818228,50,0.9999999999999645,2.312154817743653e-47,3.431844674553259e-14
RJP_0123,23.875,74.375,190888.12331342697,0,1.0,3,0.8076827077818228,50,1.0,1.352156550317818e-118,1.7265911618650663e-76
RJP_0124,24.625,74.375,190469.1880244017,0,1.0,3,0.8076827077818228,50,1.0,6.152819781264552e-63,2.2731050483603116e-24
RJP_0125,26.875,74.625,186913.95091682675,2,0.9762138733354947,3,0.8076827077818228,50,4.335425612866213e-20,0.02378612666450482,0.9762138733354947
RJP_0126,25.375,75.875,186431.55415457487,0,1.0,3,0.8076827077818228,50,1.0,1.0457680467710649e-40,1.2628532661506177e-15
RJP_0127,24.375,74.375,185256.09791989625,0,1.0,3,0.8076827077818228,50,1.0,3.5423269992100437e-66,6.201952585671947e-28
RJP_0128,25.375,72.625,184161.5776906013,1,1.0,3,0.8076827077818228,50,7.256848232148496e-46,1.0,4.714689320496084e-22
