timestamp_utc,GHI_Wm2,T_amb_C,RH_pct,WS_ms,local_hour,local_date,point_id,cluster_id,year,wind_ms,GHI_clearsky_Wm2,Tmains_C,sp_Pa
2025-10-31 08:00:00+00:00,43.27111111111111,21.793603515625023,92.24616704476094,0.749587786892471,13,2025-10-31,ASP_0028,2,2025,0.749587786892471,402.52444444444444,15.03065388997398,95942.203125
2025-10-31 09:00:00+00:00,21.013333333333332,21.788964843750023,94.95680335607992,0.4687153132837096,14,2025-10-31,ASP_0028,2,2025,0.4687153132837096,215.85777777777778,15.03065388997398,95902.140625
2025-10-31 10:00:00+00:00,4.835555555555556,21.698388671875023,99.35361735156705,0.6706744164280797,15,2025-10-31,ASP_0028,2,2025,0.6706744164280797,47.18222222222222,15.03065388997398,95910.640625
2025-10-31 11:00:00+00:00,0.0,21.512109375000023,99.20557331109828,0.667760314719022,16,2025-10-31,ASP_0028,2,2025,0.667760314719022,0.0,15.03065388997398,95918.5546875
2025-10-31 12:00:00+00:00,0.0,21.779199218750023,97.26298404120409,0.682131643194225,17,2025-10-31,ASP_0028,2,2025,0.682131643194225,0.0,15.03065388997398,95958.2265625
2025-10-31 13:00:00+00:00,0.0,21.413476562500023,98.50115606433502,0.7392556975950478,18,2025-10-31,ASP_0028,2,2025,0.7392556975950478,0.0,15.03065388997398,96004.2890625
2025-10-31 14:00:00+00:00,0.0,21.269677734375023,98.36921865689364,0.7713236713172941,19,2025-10-31,ASP_0028,2,2025,0.7713236713172941,0.0,15.03065388997398,95989.8271484375
2025-10-31 15:00:00+00:00,0.0,21.125878906250023,98.23728124945225,0.8033916450395404,20,2025-10-31,ASP_0028,2,2025,0.8033916450395404,0.0,15.03065388997398,95975.365234375
2025-10-31 16:00:00+00:00,0.0,20.982080078125023,98.10534384201087,0.8354596187617866,21,2025-10-31,ASP_0028,2,2025,0.8354596187617866,0.0,15.03065388997398,95960.9033203125
2025-10-31 17:00:00+00:00,0.0,20.838281250000023,97.97340643456948,0.8675275924840329,22,2025-10-31,ASP_0028,2,2025,0.8675275924840329,0.0,15.03065388997398,95946.44140625
2025-10-31 18:00:00+00:00,0.0,20.694482421875023,97.84146902712808,0.8995955662062792,23,2025-10-31,ASP_0028,2,2025,0.8995955662062792,0.0,15.03065388997398,95931.9794921875
2025-10-31 19:00:00+00:00,0.0,20.550683593750023,97.7095316196867,0.9316635399285255,0,2025-11-01,ASP_0028,2,2025,0.9316635399285255,0.0,15.03065388997398,95917.517578125
2025-10-31 20:00:00+00:00,0.0,20.406884765625023,97.57759421224532,0.9637315136507718,1,2025-11-01,ASP_0028,2,2025,0.9637315136507718,0.0,15.03065388997398,95903.0556640625
2025-10-31 21:00:00+00:00,0.0,20.263085937500023,97.44565680480393,0.995799487373018,2,2025-11-01,ASP_0028,2,2025,0.995799487373018,0.0,15.03065388997398,95888.59375
2025-10-31 22:00:00+00:00,0.0,20.000634765625023,96.58765615173415,0.9051653397266861,3,2025-11-01,ASP_0028,2,2025,0.9051653397266861,0.0,15.03065388997398,95795.859375
2025-10-31 23:00:00+00:00,0.0,19.978662109375023,97.12412687105913,0.8014404916776355,4,2025-11-01,ASP_0028,2,2025,0.8014404916776355,0.0,15.03065388997398,95847.9453125
2025-11-01 00:00:00+00:00,12.622222222222222,20.307031250000023,96.61887966987759,0.9770163973735215,5,2025-11-01,ASP_0028,2,2025,0.9770163973735215,70.63111111111111,15.456475830078148,95913.8125
2025-11-01 01:00:00+00:00,65.97333333333333,20.562158203125023,96.12505455624145,0.7384864749586211,6,2025-11-01,ASP_0028,2,2025,0.7384864749586211,180.49777777777777,15.456475830078148,95986.015625
2025-11-01 02:00:00+00:00,65.97333333333333,21.221826171875023,93.9910701242486,0.7014153363794468,7,2025-11-01,ASP_0028,2,2025,0.7014153363794468,180.49777777777777,15.456475830078148,96020.72395833333
