point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2021-01-21,24,4690.4,4697.68,0.9984502988709318,7.27,27.51,16.848333333333333,41.403333333333336,2.8725
RJP_0055,2021-01-22,24,4750.57,4756.1900000000005,0.9988183819401664,7.48,27.14,16.267083333333332,45.76333333333334,2.786666666666667
RJP_0055,2021-01-23,24,4144.09,4429.5,0.9355660909809234,7.84,27.37,16.59541666666667,46.629583333333336,3.286666666666666
RJP_0055,2021-01-24,24,4286.25,4434.84,0.9664948453608248,4.31,22.01,11.997916666666669,45.26416666666668,3.055
RJP_0055,2021-01-25,24,4166.79,4414.47,0.9438936044417564,3.59,21.17,12.354166666666666,46.923750000000005,2.1270833333333337
RJP_0055,2021-01-26,24,4642.06,4655.799999999999,0.9970488423042227,4.97,22.16,12.727083333333333,46.55041666666667,2.26375
RJP_0055,2021-01-27,24,4748.969999999999,4754.24,0.9988915157838056,6.2,22.32,13.54625,44.39833333333333,1.5733333333333337
RJP_0055,2021-01-28,24,4663.860000000001,4666.27,0.9994835275284114,6.06,22.61,13.505833333333335,41.93291666666666,1.9045833333333333
RJP_0055,2021-01-29,24,4748.12,4765.76,0.9962985966561472,6.08,24.1,14.082916666666668,33.14125,1.7
RJP_0055,2021-01-30,24,4989.969999999999,5039.549999999999,0.9901618200037702,8.45,25.5,15.705416666666666,28.09041666666667,1.7804166666666663
RJP_0055,2021-01-31,24,5102.86,5113.1900000000005,0.9979797347644032,9.25,26.36,17.228333333333335,25.357916666666668,1.8825000000000005
RJP_0055,2021-02-01,24,4952.16,4992.24,0.991971539829816,9.9,27.93,18.013333333333332,24.82583333333333,1.9845833333333331
RJP_0055,2021-02-02,24,4914.33,4965.620000000001,0.989670977642268,9.04,29.73,19.53458333333333,25.824166666666667,2.119166666666666
RJP_0055,2021-02-03,24,4748.68,4932.39,0.9627543645169988,12.21,30.26,20.96583333333333,32.01541666666667,2.1675
RJP_0055,2021-02-04,24,3758.07,4348.6,0.8642022719955846,10.75,28.67,19.37708333333333,39.1075,3.78375
RJP_0055,2021-02-05,24,4443.17,4484.88,0.9906998626496138,9.22,25.42,16.241666666666667,46.774166666666666,3.171666666666667
RJP_0055,2021-02-06,24,5130.79,5134.91,0.9991976490337708,8.44,25.81,16.0975,36.76833333333334,2.475
RJP_0055,2021-02-07,24,5299.32,5312.030000000001,0.9976073177297566,9.89,27.21,17.565416666666668,33.02125,1.9016666666666664
RJP_0055,2021-02-08,24,5073.81,5118.45,0.9912786097353692,9.66,28.49,19.95458333333333,29.415000000000003,1.0195833333333333
RJP_0055,2021-02-09,24,5247.9400000000005,5348.52,0.9811947978132268,14.05,31.52,21.83916666666667,23.137916666666666,1.8891666666666669
RJP_0055,2021-02-10,24,5270.2,5305.0,0.993440150801131,11.24,31.59,20.4025,26.955416666666668,3.108333333333333
RJP_0055,2021-02-11,24,5393.81,5424.63,0.9943185065156516,10.48,30.82,20.046666666666667,29.05958333333333,2.271666666666667
RJP_0055,2021-02-12,24,4698.81,5266.83,0.8921514459361702,12.37,30.05,19.780416666666664,30.06458333333333,2.685416666666667
RJP_0055,2021-02-13,24,4514.66,5102.7300000000005,0.8847538474502863,12.72,30.49,20.50708333333333,26.19,2.2333333333333334
RJP_0055,2021-02-14,24,4937.219999999999,4943.59,0.9987114627224344,11.9,30.08,20.344166666666663,28.93125,2.1541666666666663
RJP_0055,2021-02-15,24,4100.43,4891.150000000001,0.8383365875100948,11.72,30.08,21.86208333333333,26.80208333333333,1.8875
RJP_0055,2021-02-16,24,4334.58,4451.869999999999,0.9736537679671692,14.04,31.61,21.85375,31.956666666666667,2.5895833333333336
RJP_0055,2021-02-17,24,4664.96,4800.54,0.9717573439654704,12.92,30.34,20.8075,31.342916666666667,2.585833333333333
RJP_0055,2021-02-18,24,5088.67,5175.62,0.9832000803768438,12.25,30.03,20.14208333333333,29.56625,2.3366666666666664
RJP_0055,2021-02-19,24,5357.49,5379.530000000001,0.9959029878074848,11.62,29.89,19.6325,26.07625,2.4533333333333336
RJP_0055,2021-02-20,24,5525.209999999999,5529.349999999999,0.9992512682322516,11.36,30.57,21.26083333333333,22.61583333333333,1.1458333333333333
RJP_0055,2021-02-21,24,5578.75,5588.18,0.998312509618516,14.0,32.37,21.885,20.24,2.01125
RJP_0055,2021-02-22,24,5738.08,5741.91,0.999332974567696,15.04,33.31,24.71333333333333,16.06625,1.3525
RJP_0055,2021-02-23,24,5799.1,5821.5,0.996152194451602,16.24,34.79,24.729166666666668,16.69666666666667,1.9383333333333332
RJP_0055,2021-02-24,24,5825.18,5851.44,0.9955122157964535,15.33,35.33,24.895,18.724166666666665,2.274583333333333
RJP_0055,2021-02-25,24,5932.69,5948.35,0.9973673371607252,15.69,35.18,24.602500000000003,23.04625,4.0183333333333335
RJP_0055,2021-02-26,24,5903.74,5945.09,0.9930446805683344,16.37,36.22,26.297083333333333,24.85291666666667,3.83625
RJP_0055,2021-02-27,24,5833.46,5838.889999999999,0.9990700287212124,17.06,35.93,26.493749999999995,27.38458333333333,4.28875
RJP_0055,2021-02-28,24,5979.13,5989.6,0.9982519700814744,14.87,34.07,23.93541666666667,20.3,3.25
RJP_0055,2021-03-01,24,5891.86,6033.96,0.9764499598936685,14.26,33.58,23.105833333333337,17.31,3.157916666666667
RJP_0055,2021-03-02,24,5938.3,6419.56,0.9250322452006056,13.77,33.09,22.611666666666665,17.270416666666666,3.483333333333333
RJP_0055,2021-03-03,24,6260.04,6416.06,0.9756828957335189,16.2,34.6,25.13166666666667,13.212083333333334,2.1375
RJP_0055,2021-03-04,24,6151.17,6419.42,0.9582127357300192,16.79,36.36,25.695833333333336,13.546666666666669,2.432916666666667
