point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4,prob_cluster5,prob_cluster6,prob_cluster7
RJP_0067,Retreat,4,1.0,8,0.8128013668447922,50,1.1397671249645707e-19,0.0,0.0,0.0,1.0,0.0,0.0,5.179974069939646e-307
RJP_0068,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.7220295464844914e-33
RJP_0068,Summer,3,0.999999999955028,8,0.8128013668447922,50,4.497178371333847e-11,0.0,0.0,0.999999999955028,0.0,0.0,0.0,0.0
RJP_0068,Monsoon,5,0.9999997599879705,8,0.8128013668447922,50,1.4284187566626525e-167,1.3526753310693498e-49,0.0,0.0,0.0,0.9999997599879705,2.400120295308129e-07,0.0
RJP_0068,Retreat,4,0.9999999021216793,8,0.8128013668447922,50,9.787832062767273e-08,0.0,0.0,0.0,0.9999999021216793,0.0,0.0,1.53908921487e-313
RJP_0069,Winter,2,0.9999999999998366,8,0.8128013668447922,50,0.0,0.0,0.9999999999998366,0.0,0.0,0.0,0.0,1.6402295815330996e-13
RJP_0069,Summer,3,1.0,8,0.8128013668447922,50,2.3342325316076828e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0069,Monsoon,6,1.0,8,0.8128013668447922,50,8.226812894806445e-178,3.475642393516638e-20,0.0,0.0,0.0,2.1821575180813718e-16,1.0,0.0
RJP_0069,Retreat,4,1.0,8,0.8128013668447922,50,1.987067980343171e-26,0.0,0.0,0.0,1.0,0.0,0.0,4.91170743096956e-286
RJP_0070,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.145851993907827e-25
RJP_0070,Summer,3,0.9999999498654376,8,0.8128013668447922,50,5.013456229326915e-08,0.0,0.0,0.9999999498654376,0.0,0.0,0.0,0.0
RJP_0070,Monsoon,6,0.9999999999969829,8,0.8128013668447922,50,2.525017678804602e-150,1.1370643833694831e-27,0.0,0.0,0.0,3.0168979721001793e-12,0.9999999999969829,0.0
RJP_0070,Retreat,4,1.0,8,0.8128013668447922,50,4.145020528326413e-20,0.0,0.0,0.0,1.0,0.0,0.0,1.7019558354619827e-292
RJP_0071,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3170590710569101e-23
RJP_0071,Summer,3,1.0,8,0.8128013668447922,50,9.316078717415462e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0071,Monsoon,6,0.9999969647563101,8,0.8128013668447922,50,1.2837251375681305e-200,6.032729555316379e-30,0.0,0.0,0.0,3.0352436892074288e-06,0.9999969647563101,0.0
RJP_0071,Retreat,4,1.0,8,0.8128013668447922,50,2.9221037379406423e-18,0.0,0.0,0.0,1.0,0.0,0.0,4.7129924612e-313
RJP_0072,Winter,2,0.9999999999999947,8,0.8128013668447922,50,0.0,0.0,0.9999999999999947,0.0,0.0,0.0,0.0,4.6894352909790056e-15
RJP_0072,Summer,3,1.0,8,0.8128013668447922,50,4.5489864831288494e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0072,Monsoon,6,0.9999999999999822,8,0.8128013668447922,50,2.621562961736116e-159,1.7176688827173186e-22,0.0,0.0,0.0,1.7685083826308205e-14,0.9999999999999822,0.0
RJP_0072,Retreat,4,1.0,8,0.8128013668447922,50,1.2332921859768474e-20,0.0,0.0,0.0,1.0,0.0,0.0,1.241795211159591e-280
RJP_0073,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.069899655333987e-23
RJP_0073,Summer,3,0.9999999997829656,8,0.8128013668447922,50,2.1703429103879824e-10,0.0,0.0,0.9999999997829656,0.0,0.0,0.0,0.0
RJP_0073,Monsoon,6,0.9999999998010471,8,0.8128013668447922,50,1.8344600522232755e-148,2.676881410469085e-29,0.0,0.0,0.0,1.9895324134444374e-10,0.9999999998010471,0.0
RJP_0073,Retreat,4,1.0,8,0.8128013668447922,50,4.98673620132641e-17,0.0,0.0,0.0,1.0,0.0,0.0,3.6638805556438086e-288
RJP_0074,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0057035280153516e-26
RJP_0074,Summer,3,0.9999996096849217,8,0.8128013668447922,50,3.903150780426093e-07,0.0,0.0,0.9999996096849217,0.0,0.0,0.0,0.0
RJP_0074,Monsoon,6,0.9999999999975309,8,0.8128013668447922,50,4.754090806536087e-156,3.4449319349005227e-28,0.0,0.0,0.0,2.4694931234158728e-12,0.9999999999975309,0.0
RJP_0074,Retreat,4,1.0,8,0.8128013668447922,50,1.2526221775601017e-21,0.0,0.0,0.0,1.0,0.0,0.0,3.283956966523101e-296
RJP_0075,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.226115505285505e-29
RJP_0075,Summer,3,1.0,8,0.8128013668447922,50,1.9837413322059848e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0075,Monsoon,6,0.9802612890705021,8,0.8128013668447922,50,8.240646443985074e-200,4.9491057940211144e-33,0.0,0.0,0.0,0.019738710929497874,0.9802612890705021,0.0
