point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id
RJP_0083,2023-11-12,24,4315.110000000001,4616.58,0.9346984131110044,14.33,29.33,21.020416666666662,43.33416666666667,1.870833333333333,2
RJP_0083,2023-11-13,24,4151.63,4458.6900000000005,0.931132238392891,13.69,29.81,22.0475,40.525,1.9129166666666664,2
RJP_0083,2023-11-14,24,2893.2,3863.55,0.7488449741817758,15.1,25.17,19.937916666666663,44.40416666666667,2.026666666666667,2
RJP_0083,2023-11-15,24,3394.2,3465.78,0.9793466405830722,12.99,28.3,19.89,37.65541666666667,1.9608333333333328,2
RJP_0083,2023-11-16,24,3309.02,3413.91,0.9692756985392116,12.31,27.56,18.98333333333333,40.36,2.1195833333333334,2
RJP_0083,2023-11-17,24,3443.38,3477.74,0.990120020473066,12.71,26.74,19.99458333333333,38.25958333333333,1.461666666666667,2
RJP_0083,2023-11-18,24,3528.79,3646.24,0.9677887357935846,13.79,28.05,20.569166666666664,35.36166666666667,1.4208333333333334,2
RJP_0083,2023-11-19,24,3474.5199999999995,3524.0700000000006,0.9859395528465664,13.23,28.11,20.13083333333333,48.904583333333335,2.4058333333333333,2
RJP_0083,2023-11-20,24,3103.65,3210.4100000000003,0.9667456804582591,14.68,29.06,21.17375,52.67750000000001,1.9695833333333328,2
RJP_0083,2023-11-21,24,3034.05,3192.34,0.9504156825400804,13.74,29.63,20.624166666666667,46.27708333333334,2.56125,2
RJP_0083,2023-11-22,24,3789.83,3852.06,0.98384500760632,13.56,28.25,19.61625,34.4225,1.9945833333333327,2
RJP_0083,2023-11-23,24,4007.47,4152.83,0.9649973632438602,12.87,29.46,20.155,32.48583333333333,1.7745833333333334,2
RJP_0083,2023-11-24,24,3749.7,3817.55,0.982226820866786,12.43,28.38,19.35166666666667,38.38958333333333,2.1725,2
RJP_0083,2023-11-25,24,3401.04,3680.56,0.9240550351033536,11.82,25.55,18.767083333333336,42.96958333333333,2.544583333333333,2
RJP_0083,2023-11-26,24,2194.77,3188.64,0.6883091223844648,13.57,26.03,18.50375,43.85999999999999,3.39625,2
