config_label,collector_area_m2,tank_volume_L,storage_collector_ratio_Lm2,regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,solar_fraction_pct,useful_energy_kWh,max_water_temp_C,max_pcm_temp_C,n_safety_violations,meets_temperature_safety
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,2,PureTemp 58,0.040006621689109,11,0.0258943174795292,True,59.67617434406716,1626.0212453199865,60.407389738815574,59.88004292702537,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,2,n-Heptacosane (C27),0.0405808949992341,8,0.0111939190063811,True,59.67662511142643,1626.021481325006,60.44379792310814,59.43356795105801,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,0,NONE_plain_tank,0.0409388043445947,9,0.0158789250889713,True,31.553585577192443,800.0691910922429,48.67339155746263,48.67339155746263,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,1,NONE_plain_tank,0.0400376241125504,8,0.018275533922346,True,34.522290482844,845.9074905513892,51.670524718779276,51.670524718779276,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,2,NONE_plain_tank,0.0427647187312085,10,0.0125453189486936,True,30.91583595988191,806.2726483285338,49.136888304493354,49.136888304493354,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,0,Myristic acid/NBR-0.5,0.0400970798986782,9,0.0314963421478992,True,31.5633116666741,800.3321770907005,48.70680564072051,48.68407978220345,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,0,Palmitic-stearic acid/Expanded graphite,0.0407027930255427,10,0.0357514768269417,True,31.563260327932607,800.3307595735826,48.70663391096163,49.2,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,0,savE® OM55,0.0400586073454453,12,0.0267901061955944,True,31.56198268450948,800.2997397516019,48.712373658322306,49.0,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,1,CrodaTherm 60,0.041240189985132,13,0.0166176936225915,True,34.528872220685024,846.1466084758655,51.75496408900289,53.8,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,1,PureTemp 60,0.0415381434800603,9,0.0377612311436646,True,34.52954692003385,846.1372882049469,51.72186613395525,55.0,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,1,n-Heptacosane (C27),0.0400376722261537,13,0.0182869197727085,True,34.531267536979996,846.1994154271554,51.74254055490387,53.0,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,2,PlusICE A58,0.0411300551484907,8,0.0183858206157784,True,30.925181071541598,806.5335486166028,49.17913277520758,52.0,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,2,PureTemp 58,0.040006621689109,11,0.0258943174795292,True,30.924491372273323,806.5162664855995,49.18294202732915,52.0,0,True
caseB_collector_resize_75.0_Lm2,0.6666666666666666,50.0,75.0,2,n-Heptacosane (C27),0.0405808949992341,8,0.0111939190063811,True,30.92927071149528,806.6452138069998,49.18784274261738,53.0,0,True
