draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,n_shield_water_activations,n_shield_pcm_activations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
82,1,NONE_plain_tank,True,,1.0428732517695982,0.49392497955747605,1.006854132197988,-0.13749574885832672,-1.9936882075634474,rajasthan,1,,23.789311792436553,1799.8562643651462,0.5754282528995724,3303,1154.4715902344196,6.677406091471922e-11,1872.5955403614323,73.10171042218667,0.0,0.0,0.00012386770723284187,0.0,72.26850930106697,72.26850930106697,0,13,0,0.0,0,8760,0.0,0.0,0.0
83,1,NONE_plain_tank,True,,0.9864336939100691,-0.8982207834134169,1.1770563212562841,-0.41321273376182965,1.6061449949610234,rajasthan,1,,27.389144994961026,1640.4777752627788,0.5395256634326469,3085,1215.3292731002366,6.535287480032882e-11,1723.100172499389,82.89283962984362,0.0,0.0,0.0057597295677939584,0.0,70.27016204967761,70.27016204967761,0,0,0,0.0,0,8760,0.0,0.0,0.0
84,1,NONE_plain_tank,True,,0.9516884773063137,-0.35900676223285477,0.8199076990793459,0.24921370257880215,1.8822476398118764,rajasthan,1,,27.665247639811877,1435.1248840375897,0.6508541638013593,3826,631.8301062970736,6.071920084649233e-11,1535.4044601112937,100.42143093176522,0.0,0.0,0.0006016174543893275,0.0,72.71429672019178,72.71429672019178,0,1629,0,0.0,0,8760,0.0,0.0,0.0
85,1,NONE_plain_tank,True,,1.0558618428515913,-0.22998169593450157,1.1601708235081238,0.03496586961295245,0.29146116525476584,rajasthan,1,,26.074461165254768,1736.292902505938,0.5476544007008497,3403,1264.5948379869667,6.316687947483716e-11,1821.0623548530423,85.11366435411341,0.0,0.0,0.005444664424970068,0.0,72.73136133102571,72.73136133102571,0,1272,0,0.0,0,8760,0.0,0.0,0.0
86,1,NONE_plain_tank,True,,1.051066477411935,0.20617637673318656,1.0511147596649806,-0.19127320929187253,-1.472047608784672,rajasthan,1,,24.31095239121533,1806.901510116466,0.5669801018251015,3267,1198.972796262955,6.667141166332378e-11,1881.3520047621696,74.79066235867845,0.0,0.0,0.000288983898082705,0.0,72.10545456652895,72.10545456652895,0,12,0,0.0,0,8760,0.0,0.0,0.0
87,1,NONE_plain_tank,True,,0.9446422965968434,0.185133226893043,1.0806139237934203,-0.39363571695748645,-0.5617116415407621,rajasthan,1,,25.22128835845924,1624.8335419202585,0.5366222408535197,2768,1260.9985448583573,6.631575369370014e-11,1694.0751269448715,69.54577604691366,0.0,0.0,0.0009708784392198201,0.0,69.34213194484681,69.34213194484681,0,0,0,0.0,0,8760,0.0,0.0,0.0
88,1,NONE_plain_tank,True,,1.030716968137754,1.185599952431481,0.8966150397650474,0.24554263532881648,1.45920970959921,rajasthan,1,,27.242209709599212,1610.1226920495924,0.6451677733590531,3940,719.331106636545,6.13495539959066e-11,1703.3764217706969,93.41626309106988,0.0,0.0,0.00044997963284492586,0.0,72.75737660066402,72.75737660066402,0,2295,0,0.0,0,8760,0.0,0.0,0.0
89,1,NONE_plain_tank,True,,0.975505515447694,-0.3042046947208714,0.8307896572246767,0.2546371372050259,1.5490186733619549,rajasthan,1,,27.332018673361958,1479.539853507321,0.6495551116272604,3834,654.9506611943804,6.072932119522147e-11,1579.3769833684823,99.99625603041001,0.0,0.0,0.0005343669507611876,0.0,72.71270037791038,72.71270037791038,0,1817,0,0.0,0,8760,0.0,0.0,0.0
90,1,NONE_plain_tank,True,,1.0332791295326638,-1.3214258707720263,0.8957099792752992,-0.03446969039381531,0.9263022163694665,rajasthan,1,,26.70930221636947,1639.8985065633217,0.6274536927815293,3944,777.1212632401888,6.411674649127103e-11,1738.486609893187,98.78912941795782,0.0,0.0,0.0002965291392269062,0.0,72.34925524204255,72.34925524204255,0,145,0,0.0,0,8760,0.0,0.0,0.0
91,1,NONE_plain_tank,True,,0.9383367719401374,-0.44404451102755704,0.9579658146355302,0.0645495374952273,0.8205286465208403,rajasthan,1,,26.603528646520843,1493.3741686582594,0.5815517941570164,3445,938.9383817278734,6.252351444848544e-11,1581.638640327651,88.5219989982989,0.0,0.0,0.003178580491777021,0.0,72.63006163838125,72.63006163838125,0,974,0,0.0,0,8760,0.0,0.0,0.0
