case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,split
c0_RT45HC_lhs_staggered_001,0,RT45HC,staggered,lhs,20261022,0.06110073115045017,35,0.018574815749127213,sim_v2_rajasthan,6.7061707973480225,True,,0.030550365575225086,0.08360569931453424,0.5834821381459621,0.0011169230143148747,3.457773199476429e-08,22.08587505152186,0.05706227514510073,True,rajasthan,0.0,RT45HC,25.092,1588.0326808649822,0.5579310716370007,,1120.5428409328927,1.319092450968854e-07,1664.8837782929438,77.15550957271377,74.64323488910857,74.67181580270244,0.0005658414986848032,3.678650769839507,69.16701042053585,62.19810234774236,0.0,0.0,182.0,8760.0,0.0,6075.0,train
c0_RT45HC_lhs_staggered_002,0,RT45HC,staggered,lhs,20261022,0.023811268439727536,21,0.045413896768190944,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT45HC_lhs_staggered_003,0,RT45HC,staggered,lhs,20261022,0.04475434309762098,29,0.022165666672865125,sim_v2_rajasthan,6.894284248352051,True,,0.02237717154881049,0.0272227614019522,0.6299432619512824,0.0005768643154196382,2.131097021843705e-08,19.304549632241393,0.05078986360498891,True,rajasthan,0.0,RT45HC,25.092,1587.9745209068317,0.5530654643665742,,1132.876033889604,8.128596012726152e-08,1665.1996057941863,77.52138405661883,26.69602972499939,26.705312668583787,0.00040434271252182645,1.1978015016858967,68.81974013477569,62.10743179442713,0.0,0.0,213.0,8760.0,0.0,12202.0,train
c0_RT45HC_lhs_radial_000,0,RT45HC,radial,lhs,20261023,0.030269036369113773,30,0.014034360893006161,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_RT45HC_lhs_radial_001,0,RT45HC,radial,lhs,20261023,0.04525424152326228,21,0.030571121482811943,sim_v2_rajasthan,7.682186126708984,True,,0.02262712076163114,0.020381013835678054,0.866143232629319,0.00016467528979784908,8.390513816045512e-09,26.9224358232682,0.1952169014341604,True,rajasthan,0.0,RT45HC,25.092,1587.7587200603723,0.5522280377603219,,1134.998717317995,3.2001303159441125e-08,1665.033834653191,77.57045736095809,20.133869117544176,20.140816249748788,0.0003885271469059596,0.8967646087698344,68.77594206215328,62.106702761448915,0.0,0.0,215.0,8760.0,0.0,12180.0,train
c0_RT45HC_lhs_radial_002,0,RT45HC,radial,lhs,20261023,0.06244476883363563,8,0.02146503157322039,sim_v2_rajasthan,6.569309949874878,True,,0.031222384416817815,0.020398902003767854,0.9012170717257556,4.855256956067541e-05,1.7369707309681283e-09,26.08382531275683,0.3797976883657788,True,rajasthan,0.0,RT45HC,25.092,1586.55821452511,0.5515997548809771,,1136.5912696042133,6.6242997514585724e-09,1663.885634174028,77.6208640395701,18.91932204805539,18.92626406488405,0.0003359231352125829,0.8975516881657856,68.74909564463505,62.22258838305491,0.0,0.0,199.0,8760.0,0.0,5983.0,train
c0_RT45HC_lhs_radial_003,0,RT45HC,radial,lhs,20261023,0.07728827690794583,28,0.042458982857390484,sim_v2_rajasthan,7.845752239227295,True,,0.038644138453972916,0.13537158833724908,0.7328252363471189,0.0019430528371460793,1.3750007850564886e-07,63.85970387088419,0.14132771877489964,False,rajasthan,0.0,RT45HC,25.092,1585.6001319847746,0.5599685822136118,,1115.3782212469966,5.242687021081414e-07,1662.265750989252,76.9757663209749,113.31113970637108,113.35747766255233,0.0006798016977948561,5.95634988683896,69.52252442665052,62.19352305780427,0.0,0.0,164.0,8760.0,0.0,6016.0,train
c0_RT45HC_bnd_singlelayer_dmin_fmin,0,RT45HC,single-layer,boundary,0,0.02,22,0.01,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_bnd_singlelayer_dmin_fmax,0,RT45HC,single-layer,boundary,0,0.02,22,0.05,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_RT45HC_bnd_singlelayer_dmax_fmin,0,RT45HC,single-layer,boundary,0,0.08,22,0.01,sim_v2_rajasthan,7.650392532348633,True,,0.04,0.11795633216678478,0.5311495834876816,0.0006539006374645021,1.0898343957741703e-08,15.568030585685188,0.060420075973773614,False,rajasthan,0.0,RT45HC,25.092,1583.5567307113724,0.556803582537748,,1123.400765924536,4.146774466164581e-08,1660.3969191275653,77.14706933913783,97.10789359557141,97.14820356904066,0.0005899889834083779,5.190078615338531,69.28872746027507,62.47925373044927,0.0,0.0,161.0,8760.0,0.0,2850.0,train
c0_RT45HC_bnd_singlelayer_dmax_fmax,0,RT45HC,single-layer,boundary,0,0.08,22,0.05,sim_v2_rajasthan,7.992356300354004,True,,0.04,0.11795633216678478,0.5311495834876816,0.006921160236182528,5.767633530152108e-07,77.84015292842594,0.060420075973773614,False,rajasthan,0.0,RT45HC,25.092,1585.2936406266501,0.5582893727209135,,1119.6346302699908,2.1983335200242e-06,1662.0553309440068,77.06888000509839,99.07458221708366,99.11491381325833,0.0006006173734565113,5.190078615338531,69.38536761661663,62.210421386280245,0.0,0.0,166.0,8760.0,0.0,5945.0,train
c0_RT45HC_bnd_staggered_dmin_fmin,0,RT45HC,staggered,boundary,0,0.02,22,0.01,sim_v2_rajasthan,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
