cluster_id,pcm_id,capsule_diameter_m,n_capsule,valid,reason,pcm_volume_fraction,useful_energy_kWh,gain_over_plain_tank_pct
1,PureTemp 60,0.07,37,True,,0.13289984122236023,1835.1814144938328,-0.4451509940876468
1,PureTemp 60,0.08,8,True,,0.04289321169701264,1840.705791629925,-0.14546480105421059
1,PureTemp 60,0.08,14,True,,0.07506312046977212,1838.423179462648,-0.2692918558933606
1,PureTemp 60,0.08,20,True,,0.10723302924253161,1836.0933316301318,-0.39568134923774184
1,PureTemp 60,0.08,26,True,,0.13940293801529108,1833.6665244208339,-0.5273306910303385
1,PureTemp 60,0.08,32,True,,0.17157284678805057,1831.1668680447237,-0.6629319515514659
1,PureTemp 60,0.08,37,True,,0.19838110409868348,1829.0318316946702,-0.778753319277302
2,n-Heptacosane (C27),0.02,8,False,bounds_violation,,,
2,n-Heptacosane (C27),0.02,14,False,bounds_violation,,,
2,n-Heptacosane (C27),0.02,20,False,bounds_violation,,,
2,n-Heptacosane (C27),0.02,26,False,bounds_violation,,,
2,n-Heptacosane (C27),0.02,32,False,bounds_violation,,,
2,n-Heptacosane (C27),0.02,37,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,8,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,14,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,20,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,26,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,32,False,bounds_violation,,,
2,n-Heptacosane (C27),0.03,37,False,bounds_violation,,,
2,n-Heptacosane (C27),0.04,8,True,,0.00536165146212658,1790.4088691145362,0.08349026276598352
2,n-Heptacosane (C27),0.04,14,True,,0.009382890058721515,1790.1750196616074,0.07041812608877547
2,n-Heptacosane (C27),0.04,20,True,,0.013404128655316452,1789.9408946122135,0.05733058362543024
2,n-Heptacosane (C27),0.04,26,True,,0.017425367251911385,1789.706976685721,0.044254619289989736
2,n-Heptacosane (C27),0.04,32,True,,0.02144660584850632,1789.4724563816844,0.03114498217281486
2,n-Heptacosane (C27),0.04,37,True,,0.024797638012335435,1789.2776225280618,0.020253809531594415
2,n-Heptacosane (C27),0.05,8,True,,0.010471975511965978,1789.65336881351,0.041257950177708204
2,n-Heptacosane (C27),0.05,14,True,,0.01832595714594046,1789.1537495712519,0.013329336535190573
2,n-Heptacosane (C27),0.05,20,True,,0.026179938779914945,1788.653608727704,-0.014628434512929344
2,n-Heptacosane (C27),0.05,26,True,,0.034033920413889425,1788.1520800274939,-0.042663786465139936
2,n-Heptacosane (C27),0.05,32,True,,0.04188790204786391,1787.6482616053474,-0.0708271334061274
2,n-Heptacosane (C27),0.05,37,True,,0.04843288674284265,1787.2267733778767,-0.09438823927285525
2,n-Heptacosane (C27),0.06,8,True,,0.018095573684677204,1789.0833243252557,0.009392579661664673
2,n-Heptacosane (C27),0.06,14,True,,0.031667253948185106,1788.1500500027341,-0.042777264434769535
2,n-Heptacosane (C27),0.06,20,True,,0.045238934211693005,1787.2118888587845,-0.09522028085136292
2,n-Heptacosane (C27),0.06,26,True,,0.05881061447520091,1786.2681173494898,-0.14797691554536338
2,n-Heptacosane (C27),0.06,32,True,,0.07238229473870882,1785.320480925624,-0.20094959817484528
2,n-Heptacosane (C27),0.06,37,True,,0.08369202829163205,1784.5264145814847,-0.24533774469970077
2,n-Heptacosane (C27),0.07,8,True,,0.028735100804834646,1787.0665234461294,-0.10334617774172285
2,n-Heptacosane (C27),0.07,14,True,,0.050286426408460635,1785.5011809503162,-0.19084850368534528
2,n-Heptacosane (C27),0.07,20,True,,0.07183775201208661,1783.9255042247344,-0.27892851096325216
2,n-Heptacosane (C27),0.07,26,True,,0.09338907761571259,1782.3348020717324,-0.3678484365664304
2,n-Heptacosane (C27),0.07,32,True,,0.11494040321933859,1780.7245045635036,-0.45786373852629814
2,n-Heptacosane (C27),0.07,37,True,,0.13289984122236023,1779.3641264294515,-0.5339085984919538
2,n-Heptacosane (C27),0.08,8,True,,0.04289321169701264,1785.8447125484663,-0.17164515748241277
2,n-Heptacosane (C27),0.08,14,True,,0.07506312046977212,1783.3426141620596,-0.3115119464669121
2,n-Heptacosane (C27),0.08,20,True,,0.10723302924253161,1780.804839667542,-0.4533730226113597
2,n-Heptacosane (C27),0.08,26,True,,0.13940293801529108,1778.2232465183663,-0.5976835526053981
2,n-Heptacosane (C27),0.08,32,True,,0.17157284678805057,1775.5890256275657,-0.7449359626120614
2,n-Heptacosane (C27),0.08,37,True,,0.19838110409868348,1773.349367359353,-0.8701324025679491
