draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,mean_f_melt,min_f_melt,max_f_melt
47,1,savE® OM49,True,0.9834300475294404,1.0187966117951524,0.6161033101448314,0.9276256458869527,0.23178751000954934,-0.6357462063142689,rajasthan,1,savE® OM49,radial,25.348253793685732,1804.2220699758427,0.6448057452113467,4040,826.6827768922749,1.446295322710803e-07,1892.822647457023,88.85317507525664,21.134291357179734,21.141708322674116,0.00021240710329638277,0.738388917025206,72.17412584459451,62.16607517308587,0,0.0,350,8784,10852,83353,0.3664295156934662,0.0,1.0
48,1,savE® OM49,True,0.9327532232112047,1.0314206043725305,-1.4118689020863122,1.1043016071230938,-0.2975188234090498,1.7118699403697395,rajasthan,1,savE® OM49,radial,27.69586994036974,1859.9873147235373,0.60473712925072,4115,964.3230744783617,1.518305096589206e-07,1955.726567772127,95.93807347092266,17.085411717701685,17.09211474981963,0.0023278780466707127,0.738388917025206,72.07153059309353,62.112495458452344,0,0.0,250,8784,288,38044,0.3352803759089889,0.0,1.0
49,1,savE® OM49,True,0.9632646698096448,1.0453309920202967,1.2029666583633718,1.112095983745261,0.3836801001313459,-1.0546379421486227,rajasthan,1,savE® OM49,radial,24.929362057851378,1943.5855349883861,0.5907364581937198,3834,1166.2873650366455,1.47983556954256e-07,2020.946080379609,77.68899046293934,20.742634497899484,20.750426228492312,0.0014783320193138788,0.738388917025206,72.1610105396617,62.17420881836205,0,0.0,339,8784,8421,74023,0.3305275549966509,0.0,1.0
50,1,savE® OM49,True,0.9643294518072125,0.9987528839445061,1.1032974127005875,0.8246875632852257,0.26951691670661093,-0.30309497684109044,rajasthan,1,savE® OM49,radial,25.68090502315891,1727.4066272712416,0.6852004686664331,4195,640.3381298410278,1.414678941677537e-07,1819.8417191238964,92.6368548780863,20.86643262530228,20.873497266426458,1.2435811208802003e-05,0.738388917025206,72.17235419639626,62.1502400509845,0,0.0,352,8784,13852,93602,0.39519395541449615,0.0,1.0
51,1,savE® OM49,True,0.9719182098394951,1.0038754605393203,0.8371606976971115,0.8152358261571824,-0.0832449445235629,-1.542569176899491,rajasthan,1,savE® OM49,radial,24.44143082310051,1831.3155349891967,0.6754440246082594,4374,694.4881104958562,1.5313304135584861e-07,1919.0243476511498,87.99305460089178,18.468572833655003,18.47625665751414,1.1566934708026538e-06,0.738388917025206,72.11577625406159,62.117775541831215,0,0.0,274,8784,1535,65619,0.3771524402228825,0.0,1.0
52,1,savE® OM49,True,1.0023305242523888,1.0689666619867162,0.7858898626861501,1.0832446616344047,-0.4606474668176256,0.6437992462989031,rajasthan,1,savE® OM49,radial,26.627799246298906,1997.694733368454,0.6174540885512825,4271,972.0091827931085,1.5525329947015365e-07,2083.3091921160576,85.82966708154062,18.731589513371116,18.73867605512904,0.000516169675288531,0.738388917025206,72.09036988207863,62.166761369706435,0,0.0,264,8784,753,51049,0.35664527695303083,0.0,1.0
53,1,savE® OM49,True,1.0158270520442956,1.0375581654723418,0.7803505004277147,1.0062174773743555,-0.4762620634802164,0.337084342211591,rajasthan,1,savE® OM49,radial,26.32108434221159,1922.8219738059565,0.6308348427516838,4284,885.8563148552616,1.544805263080546e-07,2008.7976825646363,86.19493094142247,18.813740727032428,18.820902159651684,0.00023721217431799165,0.738388917025206,72.08828550869998,62.10858095504414,0,0.0,266,8784,794,52011,0.3586462182580094,0.0,1.0
54,1,savE® OM49,True,0.9288782476921773,0.9934855151529869,1.4127574428962815,1.1118224459258856,-0.00012111858195573699,1.1829275470188207,rajasthan,1,savE® OM49,radial,27.166927547018823,1876.1415113783394,0.6006038399209568,4025,1011.0312048126203,1.5583112683241297e-07,1954.0505172358448,78.10404632613141,17.029754099787116,17.03663346440229,0.0009343774592264875,0.738388917025206,72.08263731737149,62.10889715775377,0,0.0,246,8784,258,34442,0.32409225644695505,0.0,1.0
55,1,savE® OM49,True,1.0984201971166623,1.0653261111886867,-0.9136071535523604,0.8198285459044632,0.006571185245794919,-1.5435619525749473,rajasthan,1,savE® OM49,radial,24.440438047425054,1802.5127868659047,0.6819347773508945,4181,684.4664137443762,1.403182480466916e-07,1904.0111550552308,101.76760301508946,23.275577289557088,23.283147773268738,7.628280976420239e-06,0.738388917025206,72.18530477951413,62.17329631657097,0,0.0,352,8784,15707,96286,0.39431409829700165,0.0,1.0
56,1,savE® OM49,True,0.9420928397146607,1.0567019181145854,0.5132864380754851,1.1509123087498496,0.48477322151327396,0.8299630088427485,rajasthan,1,savE® OM49,radial,26.81396300884275,1909.4918814208283,0.5981789624916729,3986,1073.771910843124,1.4590914225869905e-07,1996.9340622200289,87.72157168638196,20.371524932075825,20.37858643836766,0.00391875017878643,0.738388917025206,72.16472820668136,62.16912678650212,0,0.0,347,8784,9185,78081,0.3494131807330049,0.0,1.0
57,1,savE® OM49,True,0.9828272380548213,1.04798867645048,0.6165333026216038,0.8761832393989298,-0.17380582742533368,0.9417727495178903,rajasthan,1,savE® OM49,radial,26.925772749517893,1868.6025829946811,0.6805370603297719,4650,645.913299312741,1.5112683543613177e-07,1966.7081199475667,98.26593459381922,19.587179346503202,19.593929861475303,3.991927797452565e-05,0.738388917025206,72.11597109101562,62.17784463981259,0,0.0,298,8784,2555,78145,0.4193519800867034,0.0,1.0
58,1,savE® OM49,True,0.9699842509870058,1.0294722253750124,1.3833671057665509,1.1637411516343312,0.0281471931354077,-1.5992881914956412,rajasthan,1,savE® OM49,radial,24.38471180850436,1958.6204994744392,0.5681213411853374,3629,1322.8378405341177,1.5003649645610028e-07,2029.6945534960378,71.44114065413608,20.687317996379804,20.69536614754812,0.0016885155023647703,0.738388917025206,72.1592184224061,62.21035725826315,0,0.0,327,8784,6133,65993,0.3052846649834653,0.0,1.0
59,1,savE® OM49,True,1.0936079493821427,1.02374771211351,-1.0915180922578362,1.1056642320834769,-0.4405463725959897,0.6464987148167851,rajasthan,1,savE® OM49,radial,26.630498714816788,1879.5691833546239,0.5941581464295118,3862,1052.389539080475,1.5391026533532276e-07,1968.4803846255056,89.15307757395748,18.702527220539743,18.709664211426993,0.0015572868802322631,0.738388917025206,72.0780314594702,62.123128392242094,0,0.0,236,8784,209,32797,0.31002699692294255,0.0,1.0
