case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_savE__OM42_lhs_006,0,savE® OM42,lhs,20261714,0.07724729097988532,31,0.016151000452381874,sim_v1_uttarakhand,2.3241686820983887,True,,0.03862364548994266,0.14963737654057263,0.8503626234594274,8.502699457382603e-05,2.288785046377559e-09,24.278752973365016,0.29265508627776277,False,uttarakhand,0.0,savE® OM42,20.63,1533.5608712917021,0.39279955221518825,,2276.8535283557894,8.794179710466631e-09,1620.7579459130886,87.84773601493313,109.21111824125924,109.30054823557091,0.00518270323264337,6.756127550806855,68.96492708093686,68.06170116543697,70.0,0.0,106.0,8784.0,train
c0_savE__OM42_lhs_007,0,savE® OM42,lhs,20261714,0.0691151877522924,24,0.04295626061118339,sim_v1_uttarakhand,2.2173941135406494,True,,0.0345575938761462,0.08297749810381473,0.9170225018961853,0.00013086827540626772,9.36935290681293e-09,57.77549164468512,0.5092158222810046,True,uttarakhand,0.0,savE® OM42,20.63,1537.1210820621657,0.39253671526731626,,2277.8391027807224,3.6005382181695773e-08,1624.0979551184114,87.61861294529803,65.42437902476934,65.4739955484394,0.0048101854308089656,3.7464340393872355,70.05213108166816,69.53572536944954,192.0,0.0,134.0,8784.0,holdout
c0_savE__OM42_bnd_dmin_fmin,0,savE® OM42,boundary,0,0.02,22,0.01,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_savE__OM42_bnd_dmin_fmax,0,savE® OM42,boundary,0,0.02,22,0.05,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_savE__OM42_bnd_dmax_fmin,0,savE® OM42,boundary,0,0.08,22,0.01,sim_v1_uttarakhand,2.3838908672332764,True,,0.04,0.11795633216678478,0.8820436678332152,1.6544910901276784e-05,2.7574851502127974e-10,15.568030585685188,0.39881139135955096,False,uttarakhand,0.0,savE® OM42,20.63,1533.38642103156,0.39166855599192596,,2281.0944882412546,1.0591806849197996e-09,1620.5185827366413,87.77376411700808,84.19221011162297,84.26262137877792,0.004739869263654696,5.325728397330333,69.92414335615693,68.16138508908342,58.0,0.0,102.0,8784.0,train
c0_savE__OM42_bnd_dmax_fmax,0,savE® OM42,boundary,0,0.08,22,0.05,sim_v1_uttarakhand,2.4084062576293945,True,,0.04,0.11795633216678478,0.8820436678332152,0.00028333669561690297,2.3611391301408582e-08,77.84015292842594,0.39881139135955096,False,uttarakhand,0.0,savE® OM42,20.63,1534.567703534825,0.3922946888839651,,2278.746642666272,9.075300595480605e-08,1621.6656430957712,87.74227494609006,86.77689180201871,86.84735574416752,0.004889608106275984,5.325728397330333,69.51532488772386,68.57577444420916,94.0,0.0,108.0,8784.0,train
c0_savE__OM42_bnd_nmin,0,savE® OM42,boundary,0,0.05,8,0.030000000000000002,sim_v1_uttarakhand,2.330822467803955,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,uttarakhand,0.0,savE® OM42,20.63,1538.0569046095247,0.39053838807044006,,2285.3323421971554,5.741395234279794e-10,1624.9072392234846,87.4760648955217,9.216768885826014,9.223032350677832,0.0040708762646492515,0.47280969436526393,71.4520851058055,71.14979318365724,924.0,0.0,177.0,8784.0,train
c0_savE__OM42_bnd_nmax,0,savE® OM42,boundary,0,0.05,37,0.030000000000000002,sim_v1_uttarakhand,2.358139753341675,True,,0.025,0.04843288674284265,0.9515671132571574,3.445149506227315e-05,1.7225747531136576e-09,29.19005734815973,0.6549042584154036,True,uttarakhand,0.0,savE® OM42,20.63,1538.689905523988,0.39216245958742646,,2279.242470265666,6.613969312482525e-09,1625.6141151873728,87.56051852796695,42.23615391397385,42.26514743378555,0.004574917185938707,2.186744836439346,70.82622576475875,70.53667639235636,763.0,0.0,171.0,8784.0,train
c1_baseline_noPCM,1,NONE_plain_tank,baseline,0,0.08,8,0.030000000000000002,sim_v1_uttarakhand,1.064328908920288,True,,0.04,0.04289321169701264,0.9571067883029873,1.3858140714189671e-05,6.929070357094836e-10,46.70409175705556,1.1900646595720985,True,uttarakhand,1.0,,7.45,1525.5819937090207,0.2804975522715074,,3908.6870821761345,2.7059752012034373e-09,1598.8345895433656,74.61179092140077,0.0,0.0,0.002327398670402944,0.0,57.823561197080856,57.823561197080856,0.0,0.0,0.0,8784.0,train
c1_PureTemp_53_lhs_000,1,PureTemp 53,lhs,20262142,0.0395802543004862,29,0.015272081911305416,sim_v1_uttarakhand,0.0,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
