case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c2_RT44HC_lhs_000,True,1.0812573432922363,1622.9260389150886,0.37591559541875175,2628.6012428594954,1.3935762865935429e-08
c2_RT44HC_lhs_001,True,1.0448918342590332,1624.2493358099184,0.3752806002472844,2631.275799513493,1.1838953762139814e-09
c2_RT44HC_lhs_002,False,0.0,,,,
c2_RT44HC_lhs_003,True,1.0552942752838135,1624.5487829063932,0.3745207272439405,2634.4763331373792,2.201314998848796e-09
c2_RT44HC_lhs_004,True,1.0632750988006592,1623.3912919975896,0.3747765148811739,2633.3989729338487,5.336928404551856e-10
c2_RT44HC_lhs_005,True,1.0695106983184814,1624.813430440853,0.37457057648233094,2634.266371521567,8.793636765207629e-10
c2_RT44HC_lhs_006,False,0.0,,,,
c2_RT44HC_lhs_007,False,0.0,,,,
c2_RT44HC_bnd_dmin_fmin,False,0.0,,,,
c2_RT44HC_bnd_dmin_fmax,False,0.0,,,,
c2_RT44HC_bnd_dmax_fmin,True,1.0647542476654053,1620.7885240256298,0.3753437374865246,2631.0098697380986,1.0885402420899184e-09
c2_RT44HC_bnd_dmax_fmax,True,1.0867424011230469,1621.5981252202857,0.3757818432145449,2629.164598084578,9.318629100285628e-08
c2_RT44HC_bnd_nmin,True,1.101193904876709,1624.967756147156,0.3741399999952656,2636.0799305221412,5.89849669490127e-10
c2_RT44HC_bnd_nmax,True,1.1135401725769043,1624.572858171662,0.3751198733702883,2631.9527702333694,6.796705784207494e-09
c2_savE__OM42_lhs_000,True,1.086594820022583,1624.5768688384564,0.3744751593602712,2634.6682619770813,7.695645321520249e-10
c2_savE__OM42_lhs_001,True,1.0917847156524658,1622.3756658222594,0.37523322983911356,2631.4753204643107,2.3528330098447837e-08
c2_savE__OM42_lhs_002,True,1.0883398056030273,1622.3283945714734,0.3746304415655768,2634.014223845598,1.9232326278242387e-08
c2_savE__OM42_lhs_003,True,1.0632829666137695,1624.7352986753715,0.374925018687277,2632.773484960705,3.6807848709235345e-09
c2_savE__OM42_lhs_004,False,0.0,,,,
c2_savE__OM42_lhs_005,False,0.0,,,,
c2_savE__OM42_lhs_006,False,0.0,,,,
c2_savE__OM42_lhs_007,True,1.05631685256958,1624.7988118754308,0.37435816733598304,2635.161024459513,3.6077700026638386e-09
c2_savE__OM42_bnd_dmin_fmin,False,0.0,,,,
c2_savE__OM42_bnd_dmin_fmax,False,0.0,,,,
c2_savE__OM42_bnd_dmax_fmin,True,1.0465035438537598,1619.1093918369113,0.3742256275574616,2635.7192730297265,1.0892066343345502e-09
c2_savE__OM42_bnd_dmax_fmax,True,1.036064863204956,1619.9772581176385,0.3746692007724094,2633.85097269158,9.326302802458582e-08
c2_savE__OM42_bnd_nmin,True,1.0745275020599365,1624.977852270099,0.3741324684909374,2636.1116527082627,5.899492978440647e-10
c2_savE__OM42_bnd_nmax,True,1.0572335720062256,1624.5792598492385,0.3750798959517384,2632.1211524126306,6.799146098441075e-09
c3_baseline_noPCM,True,0.8270668983459473,1563.3331147129009,0.40761212401813296,2131.3079928387638,2.7101326434176793e-09
c3_RT44HC_lhs_000,False,0.0,,,,
c3_RT44HC_lhs_001,True,1.0952365398406982,1564.4054835738966,0.40925145514373495,2125.4099661022883,1.7815630787339627e-09
c3_RT44HC_lhs_002,False,0.0,,,,
c3_RT44HC_lhs_003,True,1.0548925399780273,1565.5476916882164,0.41211201764349414,2115.1181624261135,3.098911108213647e-08
c3_RT44HC_lhs_004,True,1.0597028732299805,1564.0249392554106,0.4086100239961038,2127.7177232108147,7.477986655529255e-10
c3_RT44HC_lhs_005,True,1.0697593688964844,1564.5238520206003,0.4102251692771647,2121.9067129138616,1.1235884243312787e-08
c3_RT44HC_lhs_006,False,0.0,,,,
c3_RT44HC_lhs_007,True,1.0454566478729248,1564.0906944654116,0.4144049609476135,2106.868553361958,1.6025590692433224e-08
c3_RT44HC_bnd_dmin_fmin,False,0.0,,,,
c3_RT44HC_bnd_dmin_fmax,False,0.0,,,,
c3_RT44HC_bnd_dmax_fmin,True,1.0429980754852295,1562.5949067587571,0.4123842562945367,2114.1386953633128,1.0791188344933694e-09
c3_RT44HC_bnd_dmax_fmax,True,1.046311855316162,1564.1009361982592,0.41310845464612167,2111.533156327634,9.242679124932803e-08
c3_RT44HC_bnd_nmin,True,1.0312988758087158,1563.762998455053,0.408260304556178,2128.9759526037265,5.844946454659767e-10
c3_RT44HC_bnd_nmax,True,1.0402483940124512,1565.3495385479791,0.41056986948006025,2120.6665418581206,6.735123736783606e-09
c3_RT42_lhs_000,False,0.0,,,,
c3_RT42_lhs_001,True,1.0788462162017822,1562.7254365244755,0.41020872178815904,2121.965888103296,5.024208910395754e-08
c3_RT42_lhs_002,True,1.0815503597259521,1563.561661859558,0.40807760793735304,2129.633263091928,4.816997030901145e-10
c3_RT42_lhs_003,False,0.0,,,,
c3_RT42_lhs_004,False,0.0,,,,
c3_RT42_lhs_005,True,1.044351577758789,1564.0780546500112,0.40976243750992125,2123.5715408991264,1.0615136985818824e-08
c3_RT42_lhs_006,True,1.0329616069793701,1563.331120928926,0.4089065386859704,2126.6509152052336,1.1573563318361822e-09
c3_RT42_lhs_007,True,1.0233664512634277,1564.2106957828673,0.4090026295092496,2126.305197225516,3.560590583358147e-10
c3_RT42_bnd_dmin_fmin,False,0.0,,,,
c3_RT42_bnd_dmin_fmax,False,0.0,,,,
c3_RT42_bnd_dmax_fmin,True,1.0400559902191162,1560.5672993045591,0.4101062505462927,2122.3345617134096,1.078682232677919e-09
c3_RT42_bnd_dmax_fmax,True,1.052004337310791,1561.8065253638536,0.41059245342682205,2120.5852887667006,9.239334177831772e-08
