draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
71,2,RT42,True,0.9111725491879649,1.011945718567142,-0.18816225231902983,0.9819562716952346,0.03729512085589348,0.6781619941678714,uttarakhand,2,RT42,17.688161994167874,1627.5966288898605,0.39493910927280984,1059,2451.04879321452,2.8154763689633338e-11,1706.9723487372298,80.12608244781252,8.760134355974303,8.764684683713297,0.0015425899868940938,0.48170969465035074,72.72098164275107,72.68017756233766,1878,0.0,260,8784,0.31715979190646365,0.0,1.0
72,2,RT42,True,1.0266955117900975,0.9322874569182664,0.04466252861835879,1.175997002971902,-0.35685000704697734,1.6726799176597784,uttarakhand,2,RT42,18.68267991765978,1528.159124956158,0.31913939151863435,379,3201.459985086829,2.8960043887157248e-11,1593.919701918147,66.62582938363153,7.850307875718046,7.854616548903555,0.012133927285512621,0.48170969465035074,66.97158808634147,66.74767511933236,40,0.0,187,8784,0.20344418963824104,0.0,1.0
73,2,RT42,True,0.9228003180628505,1.0229014904902385,0.035021375002415644,1.0985420040536347,-0.14043115612341728,1.8937346749225545,uttarakhand,2,RT42,18.903734674922557,1642.6112552635484,0.3629125088715579,786,2778.5808736065974,2.879673460586277e-11,1718.8277735381992,76.98716694601634,8.458419023260864,8.462659296103343,0.00660648000354866,0.48170969465035074,70.84576718648776,70.6322690981247,898,0.0,233,8784,0.2795252271652312,0.0,1.0
74,2,RT42,True,1.0962171340464584,1.0285365571749143,-0.7748270937532495,0.8951701621429332,-0.09836408434118282,1.165732706514941,uttarakhand,2,RT42,18.175732706514943,1592.5298863821492,0.41525040662785406,1161,2126.83110428363,2.837572348167131e-11,1680.2738106092752,88.47736832097782,9.992088616458853,9.996481038174931,0.0025883920849002293,0.48170969465035074,72.08341902195708,72.07566000528416,1930,0.0,249,8784,0.3377061760159091,0.0,1.0
75,2,RT42,True,1.01627064901226,0.9761466075811673,-0.36698968237710294,1.102161399505226,-0.09100942278586477,0.45253974704216793,uttarakhand,2,RT42,17.462539747042168,1598.1103167713925,0.3412500886392258,509,3016.1190562567394,2.8953040568073008e-11,1666.394247639606,69.10648943290842,8.125909442145083,8.130527916492413,0.005034664003786227,0.48170969465035074,69.46757356293236,69.22332860106918,264,0.0,202,8784,0.22534068231186294,0.0,1.0
76,2,RT42,True,1.0245957410213662,0.966634440795003,-0.25515506858754655,1.007600846856307,0.014457363766850029,-1.4313037118532232,uttarakhand,2,RT42,15.578696288146778,1612.1286747045242,0.3618557129188883,683,2825.7503370249633,2.8394804988741968e-11,1677.8911511930385,66.61763477656109,8.225877284543555,8.230965276788279,0.0009053006300873628,0.48170969465035074,69.31586626484646,69.27326194512095,698,0.0,203,8784,0.23940002109046826,0.0,1.0
77,2,RT42,True,1.0953130038547065,0.9787389577065038,-0.4709853854743532,0.9434030681186464,0.11050096768513784,0.6362658286820779,uttarakhand,2,RT42,17.64626582868208,1559.136152077873,0.39427490045106284,1004,2360.4582888798514,2.8068389420903333e-11,1638.7531469954677,80.36493301397579,9.488691692441616,9.493237843895887,0.0015156528727159186,0.48170969465035074,72.24913993439678,72.20499267895252,1326,0.0,246,8784,0.30029004788019986,0.0,1.0
78,2,RT42,True,1.088804336771902,0.99704662827678,0.15250552411784157,0.9125696741886284,0.4456102358277314,1.8602008135985617,uttarakhand,2,RT42,18.870200813598565,1564.1031085844038,0.42041011821623,1273,2102.1427784350903,2.8028602448704663e-11,1649.5291707374324,86.10198797974547,10.323250356021056,10.327466843086427,0.0014518636840517042,0.48170969465035074,73.7640042955283,73.72821715143829,2894,0.0,277,8784,0.35266075485811427,0.0,1.0
79,2,RT42,True,0.9357845797034309,1.0421693831150523,1.0248519251930515,0.8162594032292605,-0.4008989029223381,1.638413016461591,uttarakhand,2,RT42,18.648413016461593,1616.0953089157358,0.45753493976909065,1591,1772.3870197451247,2.8391049585758894e-11,1705.1402305342153,89.71198279979976,9.8893193672955,9.893534159370187,0.0009077374315034373,0.48170969465035074,76.04132382996545,76.01672116694378,4609,0.0,297,8784,0.40917790824530537,0.0,1.0
80,2,RT42,True,0.9418822897543148,1.0098095424866866,0.03950123501826281,0.927852005679029,0.014849979544907188,-0.8918658703929783,uttarakhand,2,RT42,16.11813412960702,1648.1407940947981,0.40413627400461527,1048,2391.619253753089,2.8358164435265356e-11,1722.6557781229665,75.33023719452372,8.933984739529196,8.938907019715115,0.0006395973274381998,0.48170969465035074,72.35562352679136,72.31245393717597,2068,0.0,256,8784,0.30701471193521607,0.0,1.0
81,2,RT42,True,0.9808321860214287,1.0152718344384677,0.28889655540049264,0.8265440467543331,-0.38028657276805033,0.1879827387764741,uttarakhand,2,RT42,17.197982738776474,1594.0003147962457,0.43576492081446927,1256,1953.1054938240661,2.8494170921867596e-11,1676.844261633939,83.59350941178771,9.550452447215607,9.555053820796921,0.0008678932054301192,0.48170969465035074,74.1147992438615,74.06581478896622,2355,0.0,255,8784,0.351628862707034,0.0,1.0
82,2,RT42,True,1.0018410198263281,1.0009699084482089,0.21125803924017275,0.8554342025307671,-0.16380791910120795,-0.743334916589975,uttarakhand,2,RT42,16.266665083410025,1602.758777378985,0.4169542668119931,1063,2148.065764736303,2.8673922778410992e-11,1678.8576480838587,76.89944856382394,9.10698812929066,9.111840009083199,0.0006880120789943983,0.48170969465035074,72.1949464277429,72.11471336871729,1244,0.0,238,8784,0.3135315695652663,0.0,1.0
83,2,RT42,True,0.9052121858343622,0.9574702452102493,-0.14559018361323608,1.0591771166357486,0.008450413401284274,1.7834394217224032,uttarakhand,2,RT42,18.793439421722404,1541.4086611324406,0.3618324857249777,787,2693.073777153139,2.811010484328516e-11,1617.3923924560327,76.71161536107381,7.922684617116349,7.926969577571521,0.0037799048579826187,0.48170969465035074,68.56433381707839,68.52148892002725,760,0.0,229,8784,0.27767222890655474,0.0,1.0
84,2,RT42,True,1.0566647918929222,1.0180587715866711,0.8778142292595212,1.152328892426941,0.2813012068626626,-0.20801728802906672,uttarakhand,2,RT42,16.801982711970936,1727.9928977185332,0.3510392664324974,735,3169.6118446000205,2.851264344466939e-11,1791.552065932667,64.36434587724152,8.863999171203352,8.868789062036251,0.0016488083623271616,0.48170969465035074,69.44761306364485,69.39910040447582,726,0.0,219,8784,0.2557520994075179,0.0,1.0
