case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c2_n_Octacosane__C28__lhs_002,False,6.198883056640625e-06,,,,
c2_n_Octacosane__C28__lhs_003,True,6.515925884246826,1740.0356976416588,0.5249479672445084,1156.3173810634153,4.689766379473443e-09
c2_n_Octacosane__C28__lhs_004,True,9.162129163742065,1748.1831469653898,0.5317172069754998,1139.8404711297212,5.458386675444237e-10
c2_n_Octacosane__C28__lhs_005,True,8.65299940109253,1748.94310501975,0.5323489812189677,1138.3026784496383,3.473419842537552e-10
c2_n_Octacosane__C28__lhs_006,True,9.495417356491089,1745.2260935569334,0.5292622597191141,1145.8160232512168,1.8603127212365405e-10
c2_n_Octacosane__C28__lhs_007,True,9.045312881469727,1746.111973738026,0.5299840090551202,1144.0592234809812,7.946897135727789e-09
c2_n_Octacosane__C28__bnd_dmin_fmin,False,3.0279159545898438e-05,,,,
c2_n_Octacosane__C28__bnd_dmin_fmax,False,1.0728836059570312e-05,,,,
c2_n_Octacosane__C28__bnd_dmax_fmin,True,6.226540803909302,1740.9801966345995,0.5256921947119421,1154.5058675938976,6.298809872208212e-10
c2_n_Octacosane__C28__bnd_dmax_fmax,True,8.526559352874756,1741.132719404901,0.5258408726272384,1154.1439727996783,5.852974155569548e-08
c2_n_Octacosane__C28__bnd_nmin,True,9.188578128814697,1748.7926779637116,0.5322225894425388,1138.6103268709292,5.853539400186891e-10
c2_n_Octacosane__C28__bnd_nmax,True,7.386846303939819,1746.7804943818564,0.5305949918538442,1142.572038960167,1.984221589369857e-09
c2_PureTemp_58_lhs_000,True,7.1957433223724365,1745.7160482316474,0.5315237821009919,1140.3112838594895,3.2250487360646716e-09
c2_PureTemp_58_lhs_001,True,5.799667596817017,1745.6073969877598,0.5314237329302116,1140.5548121198851,1.2489247235374921e-08
c2_PureTemp_58_lhs_002,True,7.064541816711426,1746.7409533733585,0.5321138676070263,1138.8749651409203,1.2319980329738338e-09
c2_PureTemp_58_lhs_003,True,9.255773544311523,1749.2876345014108,0.5328522376771934,1137.0777090785919,1.2295336159405696e-09
c2_PureTemp_58_lhs_004,True,8.82079267501831,1748.0688925598386,0.5325495550494977,1137.814464547925,1.736666691193989e-10
c2_PureTemp_58_lhs_005,False,4.792213439941406e-05,,,,
c2_PureTemp_58_lhs_006,False,1.33514404296875e-05,,,,
c2_PureTemp_58_lhs_007,True,9.249399185180664,1749.2216260878406,0.532858238146613,1137.0631034215141,9.566887992693139e-10
c2_PureTemp_58_bnd_dmin_fmin,False,3.552436828613281e-05,,,,
c2_PureTemp_58_bnd_dmin_fmax,False,1.2159347534179688e-05,,,,
c2_PureTemp_58_bnd_dmax_fmin,True,8.536472797393799,1743.4261258208576,0.5300133300995749,1143.9878535446455,6.293852816688217e-10
c2_PureTemp_58_bnd_dmax_fmax,True,7.357485771179199,1743.7936968945473,0.530422539348232,1142.991803145767,5.8492394859960674e-08
c2_PureTemp_58_bnd_nmin,True,6.121660232543945,1749.2087788162523,0.5328674787050236,1137.0406111100112,5.853041258417204e-10
c2_PureTemp_58_bnd_nmax,True,7.650642395019531,1748.026753914992,0.5325139104788235,1137.90122648929,1.9836728088264606e-09
c2_n_Hexacosane__C26__lhs_000,True,7.863008260726929,1748.5499938489882,0.5328368596108513,1137.1151406106608,3.884293621428032e-09
c2_n_Hexacosane__C26__lhs_001,True,7.426806926727295,1748.1944247348627,0.5327675939828391,1137.2837390884235,3.146896365122684e-10
c2_n_Hexacosane__C26__lhs_002,False,4.410743713378906e-05,,,,
c2_n_Hexacosane__C26__lhs_003,True,5.701597213745117,1745.3187639050163,0.5321640851702718,1138.7527312860757,3.750464523705407e-08
c2_n_Hexacosane__C26__lhs_004,False,1.8596649169921875e-05,,,,
c2_n_Hexacosane__C26__lhs_005,True,8.63102650642395,1748.589109640311,0.5327707060219082,1137.2761641184875,3.914487348503546e-10
c2_n_Hexacosane__C26__lhs_006,False,8.463859558105469e-05,,,,
c2_n_Hexacosane__C26__lhs_007,True,7.22102952003479,1746.944757544434,0.5323810542783707,1138.2246098729468,2.3284179972698667e-09
c2_n_Hexacosane__C26__bnd_dmin_fmin,False,1.5735626220703125e-05,,,,
c2_n_Hexacosane__C26__bnd_dmin_fmax,False,4.5299530029296875e-06,,,,
c2_n_Hexacosane__C26__bnd_dmax_fmin,True,6.700623035430908,1743.5516420494625,0.5310063425673969,1141.5707760521127,6.293852816688217e-10
c2_n_Hexacosane__C26__bnd_dmax_fmax,True,8.132725954055786,1743.875869123273,0.5314496008234035,1140.4918474498133,5.846251750337283e-08
c2_n_Hexacosane__C26__bnd_nmin,True,7.7124035358428955,1749.1675765810423,0.5329198333554894,1136.913175401628,5.853165793859626e-10
c2_n_Hexacosane__C26__bnd_nmax,True,7.448652744293213,1747.909976272968,0.5326718606211749,1137.5167622993715,1.9834617393866927e-09
c3_baseline_noPCM,True,6.179873466491699,1816.5040378565952,0.5442213253493946,1118.0165881898743,2.737213760063228e-09
c3_n_Octacosane__C28__lhs_000,True,5.567662477493286,1813.9415254705423,0.54218324293809,1123.0159663325298,1.9746632745010435e-09
c3_n_Octacosane__C28__lhs_001,False,1.621246337890625e-05,,,,
c3_n_Octacosane__C28__lhs_002,True,8.535637140274048,1812.505667781097,0.5409432023914381,1126.0577626654704,9.984546990119899e-10
c3_n_Octacosane__C28__lhs_003,True,7.838956117630005,1814.0749896259163,0.5422300005775689,1122.9012707149648,6.035456122697272e-11
c3_n_Octacosane__C28__lhs_004,False,1.8835067749023438e-05,,,,
c3_n_Octacosane__C28__lhs_005,True,6.926413297653198,1807.8731862950665,0.537143450555918,1135.3784830488298,2.3495372012553666e-08
c3_n_Octacosane__C28__lhs_006,True,6.647068977355957,1814.1499144910754,0.5423835689256742,1122.5245704212657,3.917719951609023e-09
c3_n_Octacosane__C28__lhs_007,False,1.8596649169921875e-05,,,,
c3_n_Octacosane__C28__bnd_dmin_fmin,False,5.7220458984375e-06,,,,
c3_n_Octacosane__C28__bnd_dmin_fmax,False,4.291534423828125e-06,,,,
c3_n_Octacosane__C28__bnd_dmax_fmin,True,7.283905506134033,1807.0359261406459,0.5364536240060833,1137.0706147096193,6.354141329769233e-10
c3_n_Octacosane__C28__bnd_dmax_fmax,True,7.123434543609619,1807.169545536304,0.5365791556552734,1136.7626879154468,5.9042636177120146e-08
c3_n_Octacosane__C28__bnd_nmin,True,7.470891714096069,1815.4179705309105,0.5433735810731244,1120.0960890882868,5.904349860695109e-10
c3_n_Octacosane__C28__bnd_nmax,True,7.361663579940796,1813.2408499888434,0.541656584165756,1124.307850478352,2.0017403528705838e-09
c3_PureTemp_58_lhs_000,False,6.008148193359375e-05,,,,
c3_PureTemp_58_lhs_001,True,7.565290212631226,1814.5362167681994,0.5437364909951955,1119.2058778180792,5.671315358871818e-09
c3_PureTemp_58_lhs_002,False,1.7404556274414062e-05,,,,
c3_PureTemp_58_lhs_003,True,7.481942176818848,1815.1067976757045,0.5438494492829923,1118.9287932448988,5.561763300383737e-09
c3_PureTemp_58_lhs_004,True,6.763701677322388,1810.9869864951115,0.5418249407083752,1123.8948750193251,7.81023606153104e-10
c3_PureTemp_58_lhs_005,True,8.071595191955566,1815.0361707167042,0.5437858932969084,1119.0846948933797,5.239342865135993e-10
c3_PureTemp_58_lhs_006,False,1.5974044799804688e-05,,,,
c3_PureTemp_58_lhs_007,True,5.652460098266602,1813.6038601943305,0.5431738006742077,1120.586146680725,4.3781424020319835e-09
c3_PureTemp_58_bnd_dmin_fmin,False,1.7642974853515625e-05,,,,
c3_PureTemp_58_bnd_dmin_fmax,False,5.4836273193359375e-06,,,,
