case_id,regime_id,pcm_id,arrangement,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c0_n_Hexacosane__C26__single-layer_bnd_dmax_fmin,0,n-Hexacosane (C26),single-layer,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,13.646606683731079,True,,0.04,0.11795633216678478,0.5311495834876816,0.0006539006374645021,1.0898343957741703e-08,15.568030585685188,0.060420075973773614,False,tamilnadu,0.0,n-Hexacosane (C26),28.463,1749.6690784332736,0.5629735947336802,,922.706261425717,4.21579731123173e-08,1838.9307432052472,89.40131786196741,86.01561865591316,86.07657418170145,0.00012655609073258515,4.541318788421214,71.56689755458532,67.20917718293785,66.0,0.0,84.0,8784.0,train
c0_n_Hexacosane__C26__single-layer_bnd_dmax_fmax,0,n-Hexacosane (C26),single-layer,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,14.635847806930542,True,,0.04,0.11795633216678478,0.5311495834876816,0.006921160236182528,5.767633530152108e-07,77.84015292842594,0.060420075973773614,False,tamilnadu,0.0,n-Hexacosane (C26),28.463,1750.2724580295082,0.5636072710244363,,921.3683626760034,2.2306242571920127e-06,1839.639977017617,89.50732803718088,90.87556010803675,90.93653277124264,0.0001313971503125896,4.541318788421214,71.1630242374611,69.02693824979181,360.0,0.0,109.0,8784.0,holdout
c0_n_Hexacosane__C26__staggered_lhs_000,0,n-Hexacosane (C26),staggered,lhs,20261105,0.05356583607919872,30,0.02040098401813936,sim_v2_tamilnadu,14.710648775100708,True,,0.02678291803959936,0.04828514462763553,0.48658444485076946,0.0033814362694198977,1.1497437881798684e-07,21.265847381768392,0.033844322726046365,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1754.8370666726814,0.5619217559992649,,924.92703841896,4.447576251938265e-07,1843.8813908072818,89.15085301926675,43.51887343558695,43.54380078951145,6.804367083376434e-05,1.8589780681639678,71.38106266514416,71.30872455477375,3976.0,0.0,168.0,8784.0,train
c0_n_Hexacosane__C26__staggered_lhs_001,0,n-Hexacosane (C26),staggered,lhs,20261105,0.026875292527455467,14,0.014007314166052935,sim_v2_tamilnadu,2.7894973754882812e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__staggered_lhs_002,0,n-Hexacosane (C26),staggered,lhs,20261105,0.04920487923243555,17,0.04769897632130361,sim_v2_tamilnadu,87.41389298439026,True,,0.024602439616217775,0.021208114039895667,0.49375678567559833,0.005567334903247699,4.425936262046319e-07,45.673145040143794,0.03199416449368931,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1755.627045141949,0.5608075960063281,,927.2793960553054,1.7127881563447028e-06,1844.4781581703098,88.9441607193769,20.0003058596142,20.01124422972365,4.6065012882080514e-05,0.8165123905359832,71.82873195759092,71.7848551331634,7539.0,0.0,183.0,8784.0,holdout
c0_n_Hexacosane__C26__staggered_lhs_003,0,n-Hexacosane (C26),staggered,lhs,20261105,0.06720065734889183,24,0.03588695968403247,sim_v2_tamilnadu,8.339503288269043,True,,0.033600328674445915,0.07627117264190732,0.46964701440876344,0.007626876061056921,4.561756561971036e-07,46.93035909024335,0.03967243068630312,True,tamilnadu,0.0,n-Hexacosane (C26),28.463,1752.6002297546256,0.5627945787079185,,923.0842230451418,1.7645001097203192e-06,1841.8409966111371,89.35954630805921,63.55523204176081,63.594604822741324,7.57222001299202e-05,2.9364401467134322,70.73555841434909,70.61296502642429,1256.0,0.0,140.0,8784.0,train
c0_n_Hexacosane__C26__staggered_bnd_dmin_fmin,0,n-Hexacosane (C26),staggered,boundary,0,0.02,22,0.01,sim_v2_tamilnadu,2.7179718017578125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holdout
c0_n_Hexacosane__C26__staggered_bnd_dmin_fmax,0,n-Hexacosane (C26),staggered,boundary,0,0.02,22,0.05,sim_v2_tamilnadu,1.2159347534179688e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c0_n_Hexacosane__C26__staggered_bnd_dmax_fmin,0,n-Hexacosane (C26),staggered,boundary,0,0.08,22,0.01,sim_v2_tamilnadu,17.524150848388672,True,,0.04,0.11795633216678478,0.4586181716338895,0.001303734819384173,2.1728913656402883e-08,15.568030585685188,0.04518000889371047,False,tamilnadu,0.0,n-Hexacosane (C26),28.463,1749.6690784332736,0.5629735947336802,,922.706261425717,8.40537756225072e-08,1838.9307432052472,89.40131786196741,86.01561865591316,86.07657418170145,0.00012655609073258515,4.541318788421214,71.56689755458532,67.20917718293785,66.0,0.0,84.0,8784.0,train
c0_n_Hexacosane__C26__staggered_bnd_dmax_fmax,0,n-Hexacosane (C26),staggered,boundary,0,0.08,22,0.05,sim_v2_tamilnadu,12.130591869354248,True,,0.04,0.11795633216678478,0.4586181716338895,0.013068897488143643,1.089074790678637e-06,77.84015292842594,0.04518000889371047,False,tamilnadu,0.0,n-Hexacosane (C26),28.463,1750.2724580295082,0.5636072710244363,,921.3683626760034,4.211981626897171e-06,1839.639977017617,89.50732803718088,90.87556010803675,90.93653277124264,0.0001313971503125896,4.541318788421214,71.1630242374611,69.02693824979181,360.0,0.0,109.0,8784.0,train
