draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
42,0,RT57HC,True,1.0481478953501742,0.9887532188489336,-0.11098998861960876,0.9702580707929458,0.11354437708273313,-0.9146792676473536,tamilnadu,0,RT57HC,radial,27.548320732352646,1752.44971437827,0.5998927157435714,4474,864.9679351524443,1.9348607286660426e-07,1841.3589117869471,89.0438368533354,16.71500591775085,16.723835494443396,7.750572290474247e-06,0.7004494786278685,75.47748157570562,75.46237603026057,24535,0.0,222,8784,0.21308814187906833,0.0,1.0
43,0,RT57HC,True,1.0994766302194552,0.9968456527719619,-0.16964359030788334,1.0210243418640743,0.015056284684203725,0.9664211676293015,tamilnadu,0,RT57HC,radial,29.429421167629304,1737.1246817573378,0.5999029611908837,4587,812.092041019959,1.9245766283341372e-07,1832.246927300233,95.16236015010382,17.727178032812915,17.73535784106,9.734853564890973e-05,0.7004494786278685,74.75825660131855,74.74201564611673,27058,0.0,227,8784,0.23118235365306375,0.0,1.0
44,0,RT57HC,True,0.9253839313876762,0.9752751498197675,-0.07045427654650331,1.114950223860662,0.06626652607022454,-1.476867588095494,tamilnadu,0,RT57HC,radial,26.986132411904507,1786.407352604977,0.5516925965847892,4202,1149.5752882452339,1.9648779351288686e-07,1864.2951250996077,78.07163336554139,13.138173622628633,13.147329741401206,5.624451058609942e-05,0.7004494786278685,71.22324130674673,71.20884777338117,11936,0.0,159,8784,0.1357352571430622,0.0,1.0
45,0,RT57HC,True,1.0583967613150473,1.0203562378115965,0.14881186817084385,0.8982227241159236,0.3595684766842102,-1.3785762026798767,tamilnadu,0,RT57HC,radial,27.084423797320124,1792.7253559683659,0.6279621453672518,4582,764.3653883693688,1.9385529125789168e-07,1885.7385283668004,93.15373397468592,18.405956967434857,18.414827393454438,1.2160324091264569e-07,0.7004494786278685,78.05978565706273,78.05431191729227,38500,0.0,247,8784,0.2614376074747438,0.0,1.0
46,0,RT57HC,True,1.0676267269106092,1.0043132868609839,-0.09072560934729598,0.9439108437730763,-0.3513047849821692,1.5514192549817962,tamilnadu,0,RT57HC,radial,30.014419254981796,1709.500788629349,0.5919367360229133,4860,736.9382790348118,1.9588972368360817e-07,1808.9299168046716,99.42805649812901,18.408848307822918,18.416753861734033,6.424636489806574e-05,0.7004494786278685,74.95556810994503,74.92469892055,17423,0.0,233,8784,0.2727104227958327,0.0,1.0
47,0,RT57HC,True,0.9892878686995411,0.9858706723922372,0.14251903426355067,0.8461332830467643,-0.40564523019519394,-1.0531932339196004,tamilnadu,0,RT57HC,radial,27.4098067660804,1706.3157489020664,0.6061443919858145,4757,748.420174577195,1.968541690291784e-07,1798.7036394703343,92.50945046202109,16.76750739493257,16.77624933939316,2.9754580823227808e-09,0.7004494786278685,73.75846400742697,73.67427860759793,16678,0.0,213,8784,0.2575444303627277,0.0,1.0
48,0,RT57HC,True,0.9199020828424949,1.0205170641102193,0.011134012317286286,0.8552013961206574,0.3528566675772067,0.6024005804365031,tamilnadu,0,RT57HC,radial,29.065400580436503,1731.1543251630846,0.6607273287405684,4733,590.2792175943754,1.8982196234389406e-07,1836.281789524443,105.15279281772347,17.860199967594465,17.868291702953737,1.2093377129914383e-06,0.7004494786278685,79.57873515457185,79.57460898811394,52934,0.0,282,8784,0.3183692096171752,0.0,1.0
49,0,RT57HC,True,0.9069069289386071,1.0061081676507784,0.043458028636436816,0.9314961389975551,-0.11349595454043937,0.38629382044242,tamilnadu,0,RT57HC,radial,28.84929382044242,1735.5610390382612,0.5873466605745571,4787,792.6053561398535,1.9680512943534972e-07,1830.3932675891074,94.89213474329054,16.33652930403663,16.344852921316832,1.5127253974702454e-05,0.7004494786278685,73.38721173704903,73.34748573826079,15288,0.0,228,8784,0.258532675567285,0.0,1.0
50,0,RT57HC,True,0.9301959617739177,1.0141669179629524,0.0017382974446753657,0.8737460209637512,-0.15820386550986743,-1.809897164690192,tamilnadu,0,RT57HC,radial,26.65310283530981,1776.8475607807973,0.593897957557029,4696,831.1551013670013,1.9857126553244956e-07,1867.2156832499072,90.53721754242929,16.454587885079256,16.46365104317783,6.198621016885728e-10,0.7004494786278685,73.24810717348137,73.19267940779278,15912,0.0,218,8784,0.2511166932124301,0.0,1.0
51,0,RT57HC,True,1.0210340459136105,1.0068273693018979,0.1284414845638788,0.895065076685975,0.19309908675433596,1.6047188797420135,tamilnadu,0,RT57HC,radial,30.067718879742014,1705.8720890461716,0.6523662848543026,4737,593.2007929740441,1.8997050256295892e-07,1810.8102174372127,104.91662926454507,18.83696024348177,18.84473343328523,2.0839619619211877e-05,0.7004494786278685,79.37570767858882,79.36371301128125,48656,0.0,276,8784,0.3079186655456464,0.0,1.0
52,0,RT57HC,True,1.021587999814371,0.9967531804127134,0.17343938222038954,1.0032369651002406,-0.4173606375106004,-1.7441611722927841,tamilnadu,0,RT57HC,radial,26.718838827707216,1795.9261011718918,0.548649112064763,4350,1056.8678036650826,2.006671751302575e-07,1876.1267324677221,80.3870999746341,15.262369881993326,15.271550137471056,3.684125195408499e-06,0.7004494786278685,71.87705703151624,71.83834972424243,5324,0.0,163,8784,0.16963066250641648,0.0,1.0
53,0,RT57HC,True,1.0982017933242283,0.9791194201938058,0.6574293501703363,0.8099063447807324,-0.483234645284631,1.6511317648813706,tamilnadu,0,RT57HC,radial,30.11413176488137,1634.003719663903,0.6457046933339335,5024,545.3476352898087,1.9468967507183836e-07,1737.5525629063702,103.51206228230784,19.86689807395523,19.874569602786163,3.878529169573375e-06,0.7004494786278685,76.94714357610383,76.88537550062532,35699,0.0,262,8784,0.33082583629654916,0.0,1.0
